ΑΜΚΑ,Πατρώνυμο,Φύλο,Βάρος,Ύψος,Επάγγελμα,Υπηκοότητα,Ασφάλιση
15031305466,Νικόλαος,Γυναίκα,104,181,Τεχνικός Η/Υ,Ιταλική,ΕΟΠΥΥ
11086456641,Ιωάννης,Άνδρας,91,186,Ηλεκτρολόγος,Ελληνική,ΕΟΠΥΥ
09041175482,Ευάγγελος,Άνδρας,54,168,Ηλεκτρολόγος,Γερμανική,Ανασφάλιστος
10012344856,Βασίλειος,Άνδρας,52,171,Γεωργός,Αλβανική,ΕΟΠΥΥ
19105276429,Ανδρέας,Άνδρας,94,164,Αρτοποιός,Βουλγαρική,Ιδιωτική
29049814155,Μιχαήλ,Άνδρας,61,186,Οδηγός,Γερμανική,Ιδιωτική
17093756100,Παναγιώτης,Άνδρας,100,196,Οικοδόμος,Γερμανική,Ιδιωτική
16017011366,Δημήτριος,Άνδρας,58,192,Ιδιωτικός Υπάλληλος,Αλβανική,Ανασφάλιστος
05054649706,Αντώνιος,Γυναίκα,72,171,Τεχνικός Η/Υ,Γερμανική,ΕΟΠΥΥ
22063740876,Ευάγγελος,Γυναίκα,116,191,Ιδιωτικός Υπάλληλος,Βουλγαρική,Ανασφάλιστος
31038630844,Ιωάννης,Γυναίκα,111,162,Ηλεκτρολόγος,Γερμανική,ΕΟΠΥΥ
07035046608,Βασίλειος,Γυναίκα,104,177,Οικοδόμος,Βουλγαρική,ΕΟΠΥΥ
05098142338,Αντώνιος,Γυναίκα,70,159,Ξυλουργός,Βουλγαρική,ΕΟΠΥΥ
14060079798,Ευάγγελος,Γυναίκα,93,168,Γεωργός,Ελληνική,Ανασφάλιστος
21033773651,Βασίλειος,Γυναίκα,99,154,Οικοδόμος,Ιταλική,Ιδιωτική
27094900961,Αθανάσιος,Άνδρας,92,165,Αρτοποιός,Αλβανική,Ιδιωτική
12124346419,Νικόλαος,Γυναίκα,53,158,Γεωργός,Ιταλική,ΕΟΠΥΥ
19031386384,Δημήτριος,Άνδρας,68,159,Αρτοποιός,Ιταλική,Ανασφάλιστος
10096714516,Στυλιανός,Γυναίκα,65,150,Οδηγός,Βουλγαρική,Ανασφάλιστος
28029290218,Ανδρέας,Γυναίκα,77,165,Οδηγός,Αλβανική,Ανασφάλιστος
19094991999,Σπυρίδων,Άνδρας,79,195,Υδραυλικός,Ελληνική,ΕΟΠΥΥ
09035158495,Ανδρέας,Γυναίκα,100,177,Γεωργός,Βουλγαρική,Ιδιωτική
15050352862,Βασίλειος,Γυναίκα,67,155,Αρτοποιός,Ιταλική,Ανασφάλιστος
27037329919,Γεώργιος,Γυναίκα,118,195,Οδηγός,Βουλγαρική,Ιδιωτική
14076434320,Αθανάσιος,Άνδρας,71,150,Λογιστής,Αλβανική,Ανασφάλιστος
15031373353,Στυλιανός,Άνδρας,83,160,Οδηγός,Ελληνική,Ιδιωτική
08084891164,Αντώνιος,Άνδρας,50,168,Ηλεκτρολόγος,Γερμανική,ΕΟΠΥΥ
18112309136,Ανδρέας,Γυναίκα,100,166,Υδραυλικός,Ελληνική,ΕΟΠΥΥ
04114994138,Κωνσταντίνος,Γυναίκα,84,155,Λογιστής,Αλβανική,Ιδιωτική
19048076927,Ευάγγελος,Άνδρας,93,180,Δημόσιος Υπάλληλος,Βουλγαρική,Ιδιωτική
15124407117,Γεώργιος,Άνδρας,76,178,Δημόσιος Υπάλληλος,Ιταλική,Ιδιωτική
23056411777,Χρήστος,Άνδρας,60,186,Ηλεκτρολόγος,Αλβανική,Ανασφάλιστος
22019927926,Μιχαήλ,Άνδρας,80,193,Δημόσιος Υπάλληλος,Ελληνική,Ιδιωτική
17070904606,Σπυρίδων,Άνδρας,115,189,Εκπαιδευτικός,Ελληνική,Ανασφάλιστος
03052231545,Ιωάννης,Άνδρας,69,158,Δημόσιος Υπάλληλος,Βουλγαρική,Ανασφάλιστος
14129469038,Αθανάσιος,Γυναίκα,103,178,Γεωργός,Ελληνική,ΕΟΠΥΥ
18128066830,Ιωάννης,Γυναίκα,71,155,Ηλεκτρολόγος,Ιταλική,ΕΟΠΥΥ
30100856585,Αθανάσιος,Γυναίκα,67,175,Ιδιωτικός Υπάλληλος,Αλβανική,Ανασφάλιστος
03016018913,Χρήστος,Γυναίκα,69,177,Ηλεκτρολόγος,Αλβανική,ΕΟΠΥΥ
12084205890,Γεώργιος,Γυναίκα,107,171,Δημόσιος Υπάλληλος,Βουλγαρική,Ανασφάλιστος
16049499213,Δημήτριος,Άνδρας,59,172,Εκπαιδευτικός,Αλβανική,Ιδιωτική
18094719972,Χρήστος,Γυναίκα,114,197,Οδηγός,Γερμανική,Ιδιωτική
12011879017,Αθανάσιος,Άνδρας,87,182,Οδηγός,Βουλγαρική,Ιδιωτική
01015205924,Μιχαήλ,Άνδρας,61,160,Ηλεκτρολόγος,Βουλγαρική,Ανασφάλιστος
13078790040,Βασίλειος,Άνδρας,58,196,Τεχνικός Η/Υ,Γερμανική,ΕΟΠΥΥ
25019810299,Γεώργιος,Γυναίκα,55,194,Τεχνικός Η/Υ,Ιταλική,Ανασφάλιστος
13054714586,Παναγιώτης,Άνδρας,57,190,Γεωργός,Ελληνική,Ιδιωτική
17056545194,Χρήστος,Γυναίκα,108,156,Λογιστής,Γερμανική,Ιδιωτική
21076611864,Γεώργιος,Γυναίκα,107,164,Λογιστής,Αλβανική,Ιδιωτική
08016617181,Παναγιώτης,Άνδρας,84,191,Ιδιωτικός Υπάλληλος,Αλβανική,Ιδιωτική
05046712721,Βασίλειος,Άνδρας,93,168,Οδηγός,Γερμανική,ΕΟΠΥΥ
31129728592,Ευάγγελος,Γυναίκα,53,192,Οικοδόμος,Αλβανική,Ιδιωτική
20087900762,Αθανάσιος,Άνδρας,53,178,Οδηγός,Ιταλική,Ανασφάλιστος
20039125854,Παναγιώτης,Άνδρας,106,159,Λογιστής,Γερμανική,ΕΟΠΥΥ
10097428483,Μιχαήλ,Γυναίκα,116,196,Αρτοποιός,Ελληνική,Ιδιωτική
05048423564,Σπυρίδων,Άνδρας,99,184,Ξυλουργός,Βουλγαρική,Ανασφάλιστος
08103612090,Γεώργιος,Άνδρας,73,155,Ηλεκτρολόγος,Αλβανική,Ιδιωτική
19078855649,Δημήτριος,Άνδρας,105,164,Εκπαιδευτικός,Ιταλική,ΕΟΠΥΥ
29050750895,Αντώνιος,Άνδρας,89,181,Οδηγός,Γερμανική,Ανασφάλιστος
01035328784,Ανδρέας,Άνδρας,85,160,Οικοδόμος,Αλβανική,Ιδιωτική
16058175306,Χρήστος,Άνδρας,113,190,Εκπαιδευτικός,Ελληνική,Ανασφάλιστος
29080163916,Αθανάσιος,Άνδρας,71,167,Οικοδόμος,Αλβανική,Ιδιωτική
29120446388,Παναγιώτης,Γυναίκα,91,193,Τεχνικός Η/Υ,Ιταλική,Ανασφάλιστος
07089337834,Νικόλαος,Γυναίκα,67,163,Γεωργός,Γερμανική,Ανασφάλιστος
08037862959,Παναγιώτης,Γυναίκα,118,193,Τεχνικός Η/Υ,Γερμανική,ΕΟΠΥΥ
24025720735,Νικόλαος,Άνδρας,75,169,Ιδιωτικός Υπάλληλος,Γερμανική,ΕΟΠΥΥ
06078558585,Σπυρίδων,Γυναίκα,57,166,Υδραυλικός,Ελληνική,ΕΟΠΥΥ
14015634691,Ανδρέας,Γυναίκα,86,159,Γεωργός,Αλβανική,Ιδιωτική
17039914250,Κωνσταντίνος,Άνδρας,76,164,Ξυλουργός,Βουλγαρική,ΕΟΠΥΥ
25125695249,Αντώνιος,Γυναίκα,105,165,Υδραυλικός,Ιταλική,ΕΟΠΥΥ
18072138837,Γεώργιος,Άνδρας,59,162,Ιδιωτικός Υπάλληλος,Βουλγαρική,Ανασφάλιστος
16113864282,Ανδρέας,Άνδρας,117,165,Ιδιωτικός Υπάλληλος,Γερμανική,Ανασφάλιστος
06035345001,Σπυρίδων,Άνδρας,74,198,Οδηγός,Βουλγαρική,Ιδιωτική
15024496512,Μιχαήλ,Άνδρας,56,188,Οδηγός,Ιταλική,Ανασφάλιστος
29109192237,Παναγιώτης,Άνδρας,69,192,Γεωργός,Γερμανική,Ανασφάλιστος
04095936992,Ευάγγελος,Γυναίκα,76,193,Ηλεκτρολόγος,Γερμανική,ΕΟΠΥΥ
22111100001,Ευάγγελος,Γυναίκα,103,175,Ξυλουργός,Ελληνική,Ανασφάλιστος
16044172243,Νικόλαος,Γυναίκα,79,162,Εκπαιδευτικός,Ιταλική,Ιδιωτική
06038128176,Ευάγγελος,Άνδρας,79,176,Τεχνικός Η/Υ,Ελληνική,ΕΟΠΥΥ
16085491864,Σπυρίδων,Γυναίκα,59,186,Γεωργός,Ιταλική,ΕΟΠΥΥ
17050579467,Γεώργιος,Γυναίκα,83,191,Υδραυλικός,Ελληνική,Ιδιωτική
02059144498,Μιχαήλ,Γυναίκα,50,163,Υδραυλικός,Αλβανική,Ανασφάλιστος
10096855847,Στυλιανός,Άνδρας,77,153,Λογιστής,Ελληνική,ΕΟΠΥΥ
09078088340,Γεώργιος,Άνδρας,67,169,Δημόσιος Υπάλληλος,Ελληνική,ΕΟΠΥΥ
03102034426,Μιχαήλ,Άνδρας,89,196,Υδραυλικός,Βουλγαρική,Ιδιωτική
25051335386,Σπυρίδων,Άνδρας,94,170,Οδηγός,Ελληνική,ΕΟΠΥΥ
04126057627,Στυλιανός,Άνδρας,60,184,Υδραυλικός,Αλβανική,Ανασφάλιστος
31120254502,Κωνσταντίνος,Άνδρας,64,172,Γεωργός,Αλβανική,ΕΟΠΥΥ
04016428386,Κωνσταντίνος,Γυναίκα,95,192,Δημόσιος Υπάλληλος,Γερμανική,ΕΟΠΥΥ
17065133186,Ιωάννης,Άνδρας,86,179,Οικοδόμος,Γερμανική,Ανασφάλιστος
07108601683,Γεώργιος,Άνδρας,74,163,Εκπαιδευτικός,Αλβανική,ΕΟΠΥΥ
04034977146,Βασίλειος,Γυναίκα,111,191,Ηλεκτρολόγος,Βουλγαρική,Ανασφάλιστος
29092191625,Αθανάσιος,Γυναίκα,120,153,Υδραυλικός,Γερμανική,ΕΟΠΥΥ
19095683932,Ιωάννης,Γυναίκα,52,197,Οικοδόμος,Ιταλική,ΕΟΠΥΥ
01036441475,Ευάγγελος,Γυναίκα,103,178,Ξυλουργός,Ελληνική,Ανασφάλιστος
21094260806,Ανδρέας,Άνδρας,53,158,Ιδιωτικός Υπάλληλος,Βουλγαρική,Ανασφάλιστος
05100756260,Γεώργιος,Άνδρας,59,166,Λογιστής,Γερμανική,Ανασφάλιστος
18108514770,Στυλιανός,Άνδρας,106,163,Ξυλουργός,Ελληνική,Ανασφάλιστος
27020694444,Σπυρίδων,Γυναίκα,96,156,Ξυλουργός,Αλβανική,Ιδιωτική
09037676696,Νικόλαος,Γυναίκα,54,161,Λογιστής,Αλβανική,ΕΟΠΥΥ
27126462553,Μιχαήλ,Γυναίκα,77,181,Ξυλουργός,Ιταλική,Ανασφάλιστος
10100544930,Δημήτριος,Άνδρας,103,167,Τεχνικός Η/Υ,Αλβανική,Ανασφάλιστος
10105014292,Δημήτριος,Άνδρας,107,155,Οικοδόμος,Βουλγαρική,Ιδιωτική
08091895391,Ιωάννης,Άνδρας,94,163,Εκπαιδευτικός,Γερμανική,ΕΟΠΥΥ
14101881315,Μιχαήλ,Γυναίκα,50,198,Ιδιωτικός Υπάλληλος,Ελληνική,Ιδιωτική
20012408043,Χρήστος,Γυναίκα,93,152,Υδραυλικός,Ιταλική,Ανασφάλιστος
01103726459,Αντώνιος,Άνδρας,111,178,Εκπαιδευτικός,Ελληνική,Ιδιωτική
14084262266,Στυλιανός,Γυναίκα,64,194,Υδραυλικός,Ιταλική,Ανασφάλιστος
02067267206,Μιχαήλ,Άνδρας,62,161,Εκπαιδευτικός,Ιταλική,Ιδιωτική
26081628588,Στυλιανός,Άνδρας,91,174,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΟΠΥΥ
21118672045,Νικόλαος,Γυναίκα,92,159,Γεωργός,Αλβανική,Ανασφάλιστος
20121565307,Γεώργιος,Γυναίκα,95,198,Ξυλουργός,Ελληνική,Ανασφάλιστος
04023727822,Ανδρέας,Άνδρας,64,151,Δημόσιος Υπάλληλος,Αλβανική,Ανασφάλιστος
08121003803,Δημήτριος,Γυναίκα,55,161,Ηλεκτρολόγος,Γερμανική,Ανασφάλιστος
02095990711,Σπυρίδων,Γυναίκα,69,198,Εκπαιδευτικός,Ελληνική,Ανασφάλιστος
13029719554,Κωνσταντίνος,Γυναίκα,110,165,Γεωργός,Γερμανική,ΕΟΠΥΥ
16015808119,Γεώργιος,Άνδρας,87,182,Υδραυλικός,Βουλγαρική,Ανασφάλιστος
23014014218,Σπυρίδων,Γυναίκα,118,181,Λογιστής,Ιταλική,ΕΟΠΥΥ
22015851773,Σπυρίδων,Άνδρας,88,184,Ιδιωτικός Υπάλληλος,Ιταλική,ΕΟΠΥΥ
29098796122,Στυλιανός,Άνδρας,75,166,Τεχνικός Η/Υ,Αλβανική,Ιδιωτική
16027716078,Βασίλειος,Άνδρας,85,187,Τεχνικός Η/Υ,Γερμανική,Ανασφάλιστος
09107452015,Αθανάσιος,Άνδρας,85,176,Δημόσιος Υπάλληλος,Γερμανική,Ιδιωτική
12076969264,Ιωάννης,Γυναίκα,57,171,Τεχνικός Η/Υ,Ελληνική,Ανασφάλιστος
26071889698,Παναγιώτης,Γυναίκα,70,195,Λογιστής,Ιταλική,Ανασφάλιστος
12106385079,Μιχαήλ,Γυναίκα,52,176,Ξυλουργός,Γερμανική,Ανασφάλιστος
24085105195,Ευάγγελος,Άνδρας,58,170,Λογιστής,Βουλγαρική,Ανασφάλιστος
30099133128,Αντώνιος,Άνδρας,80,157,Εκπαιδευτικός,Αλβανική,Ανασφάλιστος
04019807181,Ανδρέας,Άνδρας,53,169,Δημόσιος Υπάλληλος,Βουλγαρική,ΕΟΠΥΥ
24102254188,Ιωάννης,Άνδρας,102,153,Αρτοποιός,Ιταλική,Ιδιωτική
24055611139,Παναγιώτης,Άνδρας,115,168,Τεχνικός Η/Υ,Ελληνική,ΕΟΠΥΥ
18059654594,Παναγιώτης,Γυναίκα,84,197,Ιδιωτικός Υπάλληλος,Βουλγαρική,Ιδιωτική
05061834712,Αθανάσιος,Άνδρας,119,166,Υδραυλικός,Βουλγαρική,Ανασφάλιστος
22126603824,Χρήστος,Άνδρας,114,182,Αρτοποιός,Αλβανική,ΕΟΠΥΥ
10069861489,Παναγιώτης,Άνδρας,82,179,Οδηγός,Γερμανική,Ιδιωτική
24073893537,Δημήτριος,Άνδρας,75,183,Λογιστής,Ιταλική,Ιδιωτική
17095898933,Κωνσταντίνος,Γυναίκα,100,171,Γεωργός,Ιταλική,Ιδιωτική
03067014579,Μιχαήλ,Άνδρας,103,176,Υδραυλικός,Αλβανική,Ανασφάλιστος
09089350295,Γεώργιος,Γυναίκα,57,194,Υδραυλικός,Γερμανική,Ιδιωτική
09043988652,Δημήτριος,Άνδρας,57,169,Υδραυλικός,Βουλγαρική,ΕΟΠΥΥ
29031814434,Μιχαήλ,Άνδρας,52,178,Εκπαιδευτικός,Γερμανική,Ιδιωτική
25100437290,Αθανάσιος,Γυναίκα,106,179,Εκπαιδευτικός,Ελληνική,ΕΟΠΥΥ
13119506037,Ιωάννης,Άνδρας,112,188,Οικοδόμος,Αλβανική,ΕΟΠΥΥ
25057900305,Ανδρέας,Γυναίκα,117,168,Γεωργός,Ιταλική,ΕΟΠΥΥ
10099511012,Ευάγγελος,Γυναίκα,60,196,Ξυλουργός,Ελληνική,Ιδιωτική
05081513360,Ευάγγελος,Άνδρας,58,151,Εκπαιδευτικός,Ιταλική,Ανασφάλιστος
26046559028,Αθανάσιος,Γυναίκα,61,177,Εκπαιδευτικός,Αλβανική,Ιδιωτική
04066008772,Αντώνιος,Άνδρας,111,160,Υδραυλικός,Αλβανική,Ανασφάλιστος
31037599560,Βασίλειος,Γυναίκα,106,170,Λογιστής,Γερμανική,Ανασφάλιστος
23059095347,Δημήτριος,Άνδρας,71,186,Ηλεκτρολόγος,Βουλγαρική,Ιδιωτική
14079135579,Μιχαήλ,Άνδρας,89,177,Ξυλουργός,Ιταλική,Ιδιωτική
15029202476,Μιχαήλ,Γυναίκα,59,155,Οικοδόμος,Βουλγαρική,ΕΟΠΥΥ
03069495682,Δημήτριος,Γυναίκα,109,197,Γεωργός,Γερμανική,ΕΟΠΥΥ
09041703382,Γεώργιος,Άνδρας,89,151,Υδραυλικός,Ελληνική,ΕΟΠΥΥ
12060508475,Αντώνιος,Γυναίκα,115,195,Ιδιωτικός Υπάλληλος,Ιταλική,Ιδιωτική
31017403135,Ανδρέας,Άνδρας,58,154,Εκπαιδευτικός,Ελληνική,Ανασφάλιστος
07064352297,Αθανάσιος,Άνδρας,82,170,Δημόσιος Υπάλληλος,Ιταλική,Ιδιωτική
25127470564,Γεώργιος,Γυναίκα,86,197,Οικοδόμος,Βουλγαρική,Ανασφάλιστος
17120568945,Χρήστος,Γυναίκα,74,190,Οικοδόμος,Γερμανική,ΕΟΠΥΥ
30065289266,Αθανάσιος,Άνδρας,118,165,Τεχνικός Η/Υ,Ελληνική,Ιδιωτική
30041981382,Παναγιώτης,Άνδρας,101,189,Τεχνικός Η/Υ,Αλβανική,Ιδιωτική
26080647750,Μιχαήλ,Άνδρας,106,160,Ηλεκτρολόγος,Ιταλική,Ανασφάλιστος
28107125655,Σπυρίδων,Γυναίκα,63,197,Τεχνικός Η/Υ,Βουλγαρική,Ιδιωτική
06030546076,Παναγιώτης,Γυναίκα,81,188,Τεχνικός Η/Υ,Βουλγαρική,Ιδιωτική
18088849491,Χρήστος,Γυναίκα,74,194,Γεωργός,Ελληνική,Ιδιωτική
14037477234,Παναγιώτης,Άνδρας,64,180,Υδραυλικός,Ιταλική,Ιδιωτική
