id_epeigontos,amka_nosileythi,symptomata,epipedo_epeigontos,xronos_afixis,seira_proteraiotitas,amka,apotelesma_dialogis
62,18090352790,Οξύ κοιλιακό άλγος,2,2023-06-03 10:57:27,2,07025648436,Νοσηλεία
63,20027184395,Τραύμα από πτώση,4,2023-06-03 14:06:41,3,22047993944,Νοσηλεία
64,03089959438,Οξύ κοιλιακό άλγος,3,2023-06-03 23:59:37,15,19030348414,Νοσηλεία
65,08030366981,Τραύμα από πτώση,5,2023-06-06 01:54:22,12,04048854946,Νοσηλεία
66,12107958361,Τραύμα από πτώση,3,2023-06-06 18:10:35,12,27088459709,Αποχώρηση
67,27017195842,Πόνος στο στήθος,4,2023-06-07 15:41:04,14,24026275714,Νοσηλεία
68,20027184395,Ζάλη / Λιποθυμία,5,2023-06-07 19:28:57,15,12059650695,Νοσηλεία
69,12117536456,Πόνος στο στήθος,5,2023-06-08 11:47:51,1,15129887046,Νοσηλεία
70,19049857094,Αιμορραγία,3,2023-06-08 15:50:25,8,27114223727,Αποχώρηση
71,30036670971,Έντονη Κεφαλαλγία,5,2023-06-12 15:19:51,7,26105808540,Νοσηλεία
72,30098633681,Υψηλός Πυρετός,4,2023-06-12 23:05:59,8,25114766832,Νοσηλεία
73,03028966791,Ζάλη / Λιποθυμία,3,2023-06-16 21:05:36,15,09069561018,Νοσηλεία
74,25077800538,Έντονη Κεφαλαλγία,3,2023-06-18 16:41:29,10,29049156103,Νοσηλεία
75,30098633681,Αιμορραγία,4,2023-06-20 05:42:45,6,06046575583,Αποχώρηση
76,09108380383,Ζάλη / Λιποθυμία,4,2023-06-21 15:52:58,6,05098106243,Νοσηλεία
77,07064458454,Πόνος στο στήθος,5,2023-06-22 01:43:20,8,11036301026,Αποχώρηση
78,03126004893,Οξύ κοιλιακό άλγος,2,2023-06-23 02:35:50,5,10127699608,Νοσηλεία
79,13115225497,Υψηλός Πυρετός,4,2023-06-27 02:24:32,9,02037342458,Νοσηλεία
80,16019423688,Πόνος στο στήθος,4,2023-06-27 22:40:24,10,20075682599,Αποχώρηση
81,14075944139,Έντονη Κεφαλαλγία,2,2023-07-04 03:42:03,15,20049280002,Νοσηλεία
82,30059991174,Αιμορραγία,3,2023-07-04 20:04:50,4,27114223727,Νοσηλεία
83,18107481250,Αιμορραγία,5,2023-07-07 13:52:30,6,,Νοσηλεία
84,13126770638,Έντονη Κεφαλαλγία,3,2023-07-08 22:05:42,10,20050616601,Νοσηλεία
85,30065441369,Υψηλός Πυρετός,5,2023-07-09 08:40:32,9,19025178439,Νοσηλεία
86,18107481250,Σπασμοί,3,2023-07-13 01:47:46,3,17086486097,Αποχώρηση
87,09107797937,Σπασμοί,5,2023-07-15 21:03:39,12,18066087869,Αποχώρηση
88,24124200242,Δύσπνοια,3,2023-07-24 08:55:44,2,19030348414,Νοσηλεία
89,07099742268,Αλλεργικό σοκ,3,2023-07-25 02:05:31,14,25114766832,Νοσηλεία
90,03126004893,Αλλεργικό σοκ,4,2023-08-02 07:28:58,10,04027802012,Νοσηλεία
91,18089036672,Ζάλη / Λιποθυμία,4,2023-08-03 07:15:00,5,17084510025,Νοσηλεία
92,08060402239,Οξύ κοιλιακό άλγος,5,2023-08-04 07:40:32,6,,Νοσηλεία
93,25025008486,Αλλεργικό σοκ,5,2023-08-04 17:11:24,10,16080609722,Νοσηλεία
94,09067604347,Δύσπνοια,2,2023-08-10 10:37:45,2,05110633308,Νοσηλεία
95,27017195842,Αιμορραγία,4,2023-08-11 06:07:14,2,18026581848,Νοσηλεία
96,01066563942,Έντονη Κεφαλαλγία,4,2023-08-12 00:48:42,14,,Αποχώρηση
97,20126311010,Αιμορραγία,3,2023-08-12 20:32:20,6,30129389723,Νοσηλεία
98,20064648483,Αλλεργικό σοκ,3,2023-08-13 03:08:08,2,27087797722,Νοσηλεία
99,18090352790,Αιμορραγία,3,2023-08-13 11:03:21,11,06116602025,Νοσηλεία
100,03126004893,Πόνος στο στήθος,2,2023-08-16 18:30:57,14,02024157190,Αποχώρηση
101,08030366981,Έντονη Κεφαλαλγία,4,2023-08-19 06:25:13,5,19117605737,Νοσηλεία
102,16019423688,Τραύμα από πτώση,5,2023-08-20 23:01:46,10,09026562599,Νοσηλεία
103,17114480812,Ζάλη / Λιποθυμία,5,2023-08-22 22:50:54,14,05110633308,Νοσηλεία
104,30060110111,Έντονη Κεφαλαλγία,1,2023-08-26 14:16:51,7,14038546502,Νοσηλεία
105,13115225497,Δύσπνοια,3,2023-08-28 19:21:48,7,,Νοσηλεία
106,03038005759,Τραύμα από πτώση,3,2023-08-28 22:12:41,13,09087148284,Νοσηλεία
107,13079146562,Τραύμα από πτώση,5,2023-08-31 20:04:11,8,11018863136,Νοσηλεία
108,06014567627,Έντονη Κεφαλαλγία,1,2023-09-02 16:46:06,1,23106760849,Νοσηλεία
109,28068480583,Υψηλός Πυρετός,5,2023-09-03 04:39:12,8,23097966076,Αποχώρηση
110,18090352790,Ζάλη / Λιποθυμία,4,2023-09-04 21:29:03,14,,Νοσηλεία
111,08116625064,Οξύ κοιλιακό άλγος,5,2023-09-05 01:43:31,14,17084510025,Νοσηλεία
112,20027184395,Δύσπνοια,3,2023-09-07 16:08:39,3,24105758308,Νοσηλεία
113,25077800538,Αιμορραγία,3,2023-09-08 09:39:15,6,16080609722,Αποχώρηση
114,24075447230,Σπασμοί,5,2023-09-12 01:31:38,14,05089884953,Νοσηλεία
115,13126770638,Ζάλη / Λιποθυμία,3,2023-09-13 17:25:55,8,01027315996,Αποχώρηση
116,03115884871,Οξύ κοιλιακό άλγος,3,2023-09-14 02:41:55,12,11036301026,Νοσηλεία
117,03126004893,Πόνος στο στήθος,3,2023-09-17 00:09:23,14,30088959779,Νοσηλεία
118,11105412405,Υψηλός Πυρετός,3,2023-09-17 01:50:58,3,02017791425,Νοσηλεία
119,18034735784,Σπασμοί,3,2023-09-19 17:13:47,13,02036313485,Νοσηλεία
120,02096773760,Τραύμα από πτώση,5,2023-09-20 09:40:58,12,17086486097,Νοσηλεία
121,09086435726,Οξύ κοιλιακό άλγος,5,2023-09-21 00:30:20,11,24019614197,Νοσηλεία
122,15064357343,Αιμορραγία,5,2023-09-21 20:37:15,14,,Νοσηλεία
123,12117536456,Δύσπνοια,4,2023-09-22 06:37:42,7,08034771027,Νοσηλεία
124,18129976622,Δύσπνοια,2,2023-09-23 03:34:54,14,21088351440,Νοσηλεία
125,10026244958,Υψηλός Πυρετός,2,2023-09-23 13:27:21,2,11050658021,Νοσηλεία
126,03126004893,Τραύμα από πτώση,5,2023-10-04 13:36:47,1,20037111704,Νοσηλεία
127,09067604347,Έντονη Κεφαλαλγία,4,2023-10-06 11:53:02,9,22129247575,Νοσηλεία
128,18116361055,Σπασμοί,4,2023-10-07 16:58:14,6,21047422567,Νοσηλεία
129,15099107507,Υψηλός Πυρετός,5,2023-10-09 17:13:19,13,02017791425,Νοσηλεία
130,10075502624,Υψηλός Πυρετός,1,2023-10-10 14:22:41,9,09069561018,Νοσηλεία
131,16080879975,Αιμορραγία,5,2023-10-10 19:25:33,12,26018673990,Νοσηλεία
132,22080260646,Αιμορραγία,3,2023-10-15 13:17:35,1,21096212974,Αποχώρηση
133,08116625064,Ζάλη / Λιποθυμία,4,2023-10-16 06:32:49,3,04027802012,Νοσηλεία
134,24075447230,Αιμορραγία,3,2023-10-16 13:50:35,13,15029204990,Νοσηλεία
135,01087920960,Υψηλός Πυρετός,5,2023-10-18 06:12:41,12,18095314451,Νοσηλεία
136,08116625064,Οξύ κοιλιακό άλγος,4,2023-10-19 12:34:56,5,02056408999,Αποχώρηση
137,23047006324,Αιμορραγία,2,2023-10-21 23:43:19,15,25104926265,Νοσηλεία
138,18035906391,Οξύ κοιλιακό άλγος,4,2023-10-22 06:15:18,6,22119620547,Νοσηλεία
139,04067370997,Υψηλός Πυρετός,4,2023-10-25 05:22:48,3,24116938524,Νοσηλεία
140,21040225959,Υψηλός Πυρετός,1,2023-10-25 09:37:11,12,13069976937,Νοσηλεία
141,03066870116,Αιμορραγία,3,2023-10-26 17:12:50,15,19030348414,Νοσηλεία
142,27095254287,Δύσπνοια,3,2023-10-28 00:57:17,9,26100447886,Νοσηλεία
143,10020164240,Υψηλός Πυρετός,3,2023-11-04 22:02:25,7,21088351440,Νοσηλεία
144,30059991174,Αλλεργικό σοκ,2,2023-11-06 14:10:30,12,27088459709,Νοσηλεία
145,01099900174,Αλλεργικό σοκ,4,2023-11-08 12:02:24,2,10127699608,Νοσηλεία
146,14075944139,Σπασμοί,3,2023-11-11 05:50:42,12,25110455645,Νοσηλεία
147,18107481250,Αιμορραγία,3,2023-11-14 11:04:32,10,27100139422,Νοσηλεία
148,07099742268,Σπασμοί,3,2023-11-16 01:28:26,13,05076151023,Νοσηλεία
149,16080879975,Αιμορραγία,4,2023-11-22 13:19:30,3,31084192623,Αποχώρηση
150,18034735784,Αιμορραγία,3,2023-11-22 20:20:12,2,04027802012,Νοσηλεία
151,03090344394,Ζάλη / Λιποθυμία,4,2023-11-23 17:34:18,13,16099945058,Νοσηλεία
152,31059967089,Σπασμοί,5,2023-11-28 23:56:57,5,14038546502,Νοσηλεία
153,07099742268,Σπασμοί,4,2023-11-29 17:17:55,5,22119620547,Νοσηλεία
154,08097071851,Έντονη Κεφαλαλγία,4,2023-12-02 02:22:13,12,12060698468,Αποχώρηση
155,18107481250,Έντονη Κεφαλαλγία,4,2023-12-03 03:59:54,8,03039892139,Νοσηλεία
156,11105412405,Έντονη Κεφαλαλγία,3,2023-12-03 15:22:40,2,11108472772,Νοσηλεία
157,03115884871,Δύσπνοια,5,2023-12-06 02:09:46,1,20086333246,Νοσηλεία
158,27017195842,Οξύ κοιλιακό άλγος,3,2023-12-06 04:26:33,7,14055158747,Νοσηλεία
159,07037703321,Αιμορραγία,2,2023-12-06 20:12:34,13,01078093778,Νοσηλεία
160,14075944139,Σπασμοί,4,2023-12-08 15:40:22,10,13076696064,Νοσηλεία
161,10046167641,Οξύ κοιλιακό άλγος,4,2023-12-10 10:41:31,1,25114766832,Νοσηλεία
162,12117536456,Έντονη Κεφαλαλγία,3,2023-12-14 01:24:28,1,26026036012,Νοσηλεία
163,03028966791,Πόνος στο στήθος,5,2023-12-19 22:23:21,4,23035726441,Νοσηλεία
164,30059991174,Πόνος στο στήθος,4,2023-12-20 04:50:40,9,24064249347,Νοσηλεία
165,30068151571,Δύσπνοια,3,2023-12-21 01:09:43,8,23097966076,Νοσηλεία
166,25039392944,Ζάλη / Λιποθυμία,2,2023-12-24 07:54:38,12,27114223727,Νοσηλεία
167,30120680260,Τραύμα από πτώση,3,2023-12-29 00:24:02,5,28045106998,Νοσηλεία
168,02127192215,Έντονη Κεφαλαλγία,4,2023-12-30 01:31:34,4,31057446403,Νοσηλεία
169,14024772624,Αλλεργικό σοκ,3,2023-12-31 03:49:09,8,03080887989,Νοσηλεία
170,14106844609,Αιμορραγία,4,2024-01-02 04:11:23,4,17084510025,Νοσηλεία
171,25039392944,Αιμορραγία,3,2024-01-02 15:16:38,15,29089535168,Αποχώρηση
172,13115225497,Αλλεργικό σοκ,4,2024-01-04 06:54:03,11,18095314451,Νοσηλεία
173,06014567627,Αιμορραγία,1,2024-01-04 08:09:10,15,09025524525,Νοσηλεία
174,03028966791,Σπασμοί,4,2024-01-10 01:59:44,13,06060868993,Νοσηλεία
175,19026812867,Ζάλη / Λιποθυμία,5,2024-01-13 12:36:22,7,06116602025,Νοσηλεία
176,30065441369,Δύσπνοια,4,2024-01-14 23:07:32,4,04066869604,Νοσηλεία
177,10020164240,Δύσπνοια,4,2024-01-16 04:28:56,6,02045315571,Νοσηλεία
178,14106844609,Έντονη Κεφαλαλγία,5,2024-01-18 05:12:33,6,17024116047,Νοσηλεία
179,03090099312,Υψηλός Πυρετός,5,2024-01-20 15:01:44,3,01129226955,Νοσηλεία
180,16019423688,Τραύμα από πτώση,5,2024-01-20 23:26:27,15,31057446403,Νοσηλεία
181,09107797937,Αιμορραγία,4,2024-01-23 00:31:18,2,04048854946,Νοσηλεία
182,22080260646,Ζάλη / Λιποθυμία,3,2024-01-25 16:05:42,2,20108497934,Νοσηλεία
183,09067604347,Υψηλός Πυρετός,3,2024-01-26 07:03:17,5,16080609722,Νοσηλεία
184,19090547719,Υψηλός Πυρετός,3,2024-01-26 22:25:53,4,19080401685,Νοσηλεία
185,26046628037,Τραύμα από πτώση,3,2024-01-27 04:45:04,15,01088695318,Νοσηλεία
186,29078137155,Έντονη Κεφαλαλγία,3,2024-01-28 22:35:52,11,24096114298,Νοσηλεία
187,31039442179,Τραύμα από πτώση,2,2024-01-29 11:38:47,15,24096114298,Αποχώρηση
188,30059991174,Ζάλη / Λιποθυμία,1,2024-01-31 15:54:06,15,,Νοσηλεία
189,29109729650,Πόνος στο στήθος,3,2024-02-03 22:57:19,4,09066024392,Νοσηλεία
190,31059967089,Σπασμοί,5,2024-02-07 01:12:11,13,31108619515,Νοσηλεία
191,07099742268,Αλλεργικό σοκ,3,2024-02-13 12:17:37,15,02024157190,Νοσηλεία
192,19065594744,Αιμορραγία,2,2024-02-14 08:39:53,4,08090361434,Νοσηλεία
193,19090547719,Τραύμα από πτώση,3,2024-02-14 15:34:15,14,,Νοσηλεία
194,12107958361,Ζάλη / Λιποθυμία,2,2024-02-15 10:31:24,9,26105808540,Νοσηλεία
195,30036670971,Αιμορραγία,5,2024-02-18 10:57:30,11,28077570409,Νοσηλεία
196,03090344394,Οξύ κοιλιακό άλγος,5,2024-02-20 21:32:06,8,06046575583,Νοσηλεία
197,18129976622,Πόνος στο στήθος,1,2024-02-22 22:28:15,10,11018863136,Αποχώρηση
198,25077800538,Πόνος στο στήθος,1,2024-02-24 16:06:59,1,24104247444,Νοσηλεία
199,13115225497,Σπασμοί,2,2024-02-24 23:54:27,13,03125045036,Νοσηλεία
200,20064648483,Έντονη Κεφαλαλγία,2,2024-03-02 13:20:37,10,04037844317,Αποχώρηση
201,26084323690,Υψηλός Πυρετός,3,2024-03-04 06:35:23,11,26026036012,Νοσηλεία
202,20064648483,Αλλεργικό σοκ,4,2024-03-07 12:05:17,8,20057232485,Νοσηλεία
203,14024772624,Πόνος στο στήθος,2,2024-03-09 07:48:18,11,20075682599,Νοσηλεία
204,10075502624,Ζάλη / Λιποθυμία,1,2024-03-09 13:59:38,15,21088351440,Αποχώρηση
205,03126004893,Πόνος στο στήθος,4,2024-03-10 08:59:14,14,26125596722,Νοσηλεία
206,16080248825,Πόνος στο στήθος,5,2024-03-11 15:12:01,4,24019614197,Νοσηλεία
207,14075944139,Οξύ κοιλιακό άλγος,5,2024-03-11 21:52:22,15,24076008916,Νοσηλεία
208,07064458454,Δύσπνοια,3,2024-03-12 12:44:18,7,31084192623,Νοσηλεία
209,19049857094,Υψηλός Πυρετός,5,2024-03-12 18:52:28,8,30088959779,Αποχώρηση
210,15099107507,Τραύμα από πτώση,5,2024-03-13 07:56:04,3,07094810040,Αποχώρηση
211,24124200242,Δύσπνοια,5,2024-03-13 11:53:30,6,02056408999,Νοσηλεία
212,19090547719,Υψηλός Πυρετός,3,2024-03-15 02:05:15,13,05076151023,Αποχώρηση
213,04055851549,Πόνος στο στήθος,3,2024-03-16 10:20:12,2,07025648436,Νοσηλεία
214,30060110111,Υψηλός Πυρετός,3,2024-03-18 12:57:45,2,21119250184,Νοσηλεία
215,27095254287,Υψηλός Πυρετός,3,2024-03-21 05:36:15,11,08069088885,Νοσηλεία
216,30098633681,Δύσπνοια,3,2024-03-21 11:35:59,10,,Νοσηλεία
217,09108380383,Δύσπνοια,5,2024-03-22 12:57:18,7,20049280002,Νοσηλεία
218,20126311010,Υψηλός Πυρετός,3,2024-03-22 18:59:32,14,02080605060,Νοσηλεία
219,17117429693,Αιμορραγία,4,2024-03-23 07:10:06,13,14038546502,Νοσηλεία
220,10046167641,Αιμορραγία,3,2024-03-28 17:53:26,12,22047993944,Νοσηλεία
221,03090099312,Οξύ κοιλιακό άλγος,3,2024-03-31 00:43:10,2,23065187182,Νοσηλεία
222,10046167641,Έντονη Κεφαλαλγία,2,2024-04-01 08:27:06,14,10049749838,Νοσηλεία
223,31039442179,Πόνος στο στήθος,5,2024-04-04 00:31:37,11,23119130856,Νοσηλεία
224,20076722924,Δύσπνοια,4,2024-04-05 15:24:49,7,15116913619,Νοσηλεία
225,13079146562,Δύσπνοια,1,2024-04-05 21:40:39,10,25104926265,Νοσηλεία
226,08097071851,Ζάλη / Λιποθυμία,4,2024-04-08 15:25:21,15,07025661146,Νοσηλεία
227,29078137155,Τραύμα από πτώση,4,2024-04-08 20:52:08,11,22119620547,Νοσηλεία
228,12107958361,Δύσπνοια,4,2024-04-10 10:58:09,2,24028052131,Νοσηλεία
229,18129976622,Πόνος στο στήθος,3,2024-04-10 21:19:09,4,30098579446,Αποχώρηση
230,30060110111,Δύσπνοια,4,2024-04-11 04:30:53,9,14116282450,Νοσηλεία
231,18129976622,Δύσπνοια,4,2024-04-18 04:18:01,2,30056253919,Νοσηλεία
232,18089036672,Οξύ κοιλιακό άλγος,3,2024-04-18 18:35:17,10,,Νοσηλεία
233,28068480583,Οξύ κοιλιακό άλγος,3,2024-04-20 22:04:35,5,18076242086,Νοσηλεία
234,03126004893,Πόνος στο στήθος,4,2024-04-21 00:08:41,4,02080605060,Νοσηλεία
235,10026244958,Έντονη Κεφαλαλγία,4,2024-04-21 10:40:02,7,28127165521,Αποχώρηση
236,21040225959,Υψηλός Πυρετός,2,2024-04-21 13:32:59,9,29048725629,Νοσηλεία
237,22080260646,Πόνος στο στήθος,4,2024-04-21 18:27:21,4,22065247880,Νοσηλεία
238,10020164240,Αιμορραγία,3,2024-04-23 11:01:52,5,13070372071,Νοσηλεία
239,25077800538,Οξύ κοιλιακό άλγος,1,2024-04-24 10:39:53,3,23065187182,Αποχώρηση
240,14024772624,Ζάλη / Λιποθυμία,4,2024-04-26 10:46:10,14,28077380275,Αποχώρηση
241,08030366981,Τραύμα από πτώση,5,2024-04-26 14:04:46,12,04066869604,Αποχώρηση
242,31039442179,Έντονη Κεφαλαλγία,3,2024-04-26 17:24:58,9,06046575583,Νοσηλεία
243,13016967253,Ζάλη / Λιποθυμία,4,2024-04-29 21:21:23,15,18095314451,Νοσηλεία
244,19065594744,Αλλεργικό σοκ,4,2024-05-03 09:22:36,15,01088695318,Νοσηλεία
245,20076722924,Ζάλη / Λιποθυμία,4,2024-05-04 09:59:29,9,24026275714,Νοσηλεία
246,07099742268,Οξύ κοιλιακό άλγος,3,2024-05-05 16:38:23,1,25096574054,Νοσηλεία
247,29109729650,Τραύμα από πτώση,3,2024-05-05 23:15:29,3,16074369547,Νοσηλεία
248,08097071851,Έντονη Κεφαλαλγία,4,2024-05-06 02:15:32,12,17084510025,Νοσηλεία
249,29078137155,Δύσπνοια,5,2024-05-08 22:22:57,12,05089884953,Αποχώρηση
250,20027184395,Οξύ κοιλιακό άλγος,4,2024-05-16 09:40:45,8,,Νοσηλεία
251,18034735784,Πόνος στο στήθος,4,2024-05-17 17:38:34,1,04048854946,Νοσηλεία
252,07064458454,Οξύ κοιλιακό άλγος,2,2024-05-18 18:03:23,2,17089610796,Αποχώρηση
253,22080260646,Σπασμοί,1,2024-05-19 21:52:58,6,17084510025,Αποχώρηση
254,25025008486,Πόνος στο στήθος,5,2024-05-24 19:58:01,15,22119620547,Νοσηλεία
255,23047006324,Τραύμα από πτώση,2,2024-05-26 20:03:45,11,04027802012,Νοσηλεία
256,14024772624,Δύσπνοια,2,2024-05-29 01:20:51,6,27088459709,Νοσηλεία
257,27064113080,Δύσπνοια,4,2024-05-30 15:31:45,9,20129813159,Νοσηλεία
258,08030366981,Έντονη Κεφαλαλγία,4,2024-06-01 19:33:11,14,,Νοσηλεία
259,26046628037,Δύσπνοια,4,2024-06-01 22:53:32,11,20057232485,Νοσηλεία
260,14075944139,Οξύ κοιλιακό άλγος,3,2024-06-02 21:01:56,10,24019614197,Νοσηλεία
261,20027184395,Δύσπνοια,5,2024-06-03 08:54:52,3,22035062029,Νοσηλεία
262,31059967089,Αλλεργικό σοκ,5,2024-06-04 13:18:42,2,26105808540,Νοσηλεία
263,09107797937,Πόνος στο στήθος,4,2024-06-04 19:43:20,4,14055158747,Νοσηλεία
264,11105412405,Δύσπνοια,5,2024-06-14 20:48:16,7,10088308059,Νοσηλεία
265,19026812867,Υψηλός Πυρετός,5,2024-06-15 08:52:25,10,27088459709,Νοσηλεία
266,04055851549,Έντονη Κεφαλαλγία,3,2024-06-19 11:19:13,9,22065247880,Νοσηλεία
267,03115884871,Ζάλη / Λιποθυμία,3,2024-06-19 20:55:37,10,18095314451,Νοσηλεία
268,30098633681,Υψηλός Πυρετός,5,2024-06-21 04:00:38,8,07096944665,Νοσηλεία
269,01066563942,Σπασμοί,2,2024-06-21 23:48:54,8,14024432211,Νοσηλεία
270,07037703321,Τραύμα από πτώση,4,2024-06-23 17:05:44,13,29078056776,Νοσηλεία
271,25025008486,Αλλεργικό σοκ,3,2024-06-24 22:18:56,14,17086486097,Νοσηλεία
272,17114480812,Έντονη Κεφαλαλγία,5,2024-06-27 04:41:43,1,16080609722,Νοσηλεία
273,04036081497,Τραύμα από πτώση,2,2024-06-29 23:19:57,5,,Νοσηλεία
274,04036081497,Σπασμοί,3,2024-07-01 10:21:12,15,11050658021,Νοσηλεία
275,15099107507,Πόνος στο στήθος,2,2024-07-01 17:44:56,2,21088351440,Νοσηλεία
