ΑΜΚΑ Ασθενούς,ID κλίνης,ID τμήματος,Ημερομηνία Εισαγωγής,Ημερομηνία Εξόδου,Διάγνωση εισαγωγής,Διάγνωση εξόδου,ΑΜΚΑ Ιατρού,ID νοσηλείας
08091895391,130,4,23/09/2025,07/10/2025,K80.2,K80.2,19027042703,HOSP0054
31037599560,249,7,26/08/2025,,K31.3,,09069835210,HOSP0055
14079135579,239,11,16/08/2025,,Z13.6,,06027627694,HOSP0056
12011879017,127,2,12/08/2025,21/08/2025,A02.1,A02.0,11089156345,HOSP0057
22126603824,133,11,09/10/2025,20/10/2025,E10.36,E10.36,15058853856,HOSP0058
29055353953,134,15,12/03/2025,26/03/2025,A01.04,A01.09,07028516218,HOSP0059
02084522172,221,15,11/02/2025,24/02/2025,K29.60,K29.60,10127299727,HOSP0060
06038128176,211,15,11/02/2025,21/02/2025,K35.3,K35.3,16049003305,HOSP0061
20012408043,207,6,24/04/2025,29/04/2025,A22.8,A22.8,25088361954,HOSP0062
29031814434,157,3,12/03/2025,14/03/2025,E11.01,E11.9,11097590670,HOSP0063
27020694444,179,5,26/04/2025,11/05/2025,A00.1,A00.9,07028516218,HOSP0064
13054714586,112,14,19/11/2025,01/12/2025,C50.8,C50.8,15017712540,HOSP0065
20012408043,158,4,08/12/2025,14/12/2025,E10.11,E10.9,20129473958,HOSP0066
18128066830,138,6,25/10/2025,,E10.11,,18129709560,HOSP0067
15024496512,179,4,05/12/2025,22/12/2025,K80.0,K80.2,24047132066,HOSP0068
04095936992,232,8,03/02/2025,,J47.0,,23098441244,HOSP0069
05061834712,191,8,25/06/2025,09/07/2025,C10.2,C10.2,27088489716,HOSP0070
26080647750,226,3,14/05/2025,,R10.4,,09017311612,HOSP0071
30100856585,179,3,14/07/2025,03/08/2025,K80.0,K80.2,09017311612,HOSP0072
26071889698,100,8,09/08/2025,,E78.3,,08067254671,HOSP0073
08084891164,101,14,18/10/2025,03/11/2025,A05.4,A05.4,10067512301,HOSP0074
08103612090,172,12,13/04/2025,,A04.8,,17087396426,HOSP0075
23014014218,209,1,15/11/2025,23/11/2025,R10.4,K57.9,18069689187,HOSP0076
13047704715,163,14,01/10/2025,07/10/2025,K82.3,K82.3,11097590670,HOSP0077
24055611139,161,3,11/06/2025,23/06/2025,A15.0,A04.0,01078709081,HOSP0078
08091895391,216,4,31/10/2025,11/11/2025,E11.11,E11.9,27017221497,HOSP0079
14015634691,135,11,06/10/2025,25/10/2025,Z09.4,Z09.4,14029425785,HOSP0080
25125695249,197,11,13/06/2025,29/06/2025,J44.1,J44.9,11089156345,HOSP0081
08016617181,145,8,30/03/2025,05/04/2025,A01.04,A01.09,19119473421,HOSP0082
07089337834,186,7,08/04/2025,17/04/2025,J44.1,J44.9,08029135276,HOSP0083
08105009677,248,13,09/09/2025,22/09/2025,A01.03,A01.09,19117791727,HOSP0084
15031373353,226,1,12/06/2025,21/06/2025,I69.3,I69.3,07028516218,HOSP0085
13054714586,212,8,03/07/2025,11/07/2025,J44.1,J44.9,24047666754,HOSP0086
24073893537,202,3,15/03/2025,21/03/2025,K29.60,K29.60,20107782446,HOSP0087
26081628588,117,12,21/10/2025,,A00.0,,23089628691,HOSP0088
03055136851,224,1,30/07/2025,06/08/2025,C13.8,C13.8,10069055761,HOSP0089
15029202476,210,3,03/04/2025,,C25.1,,13028919776,HOSP0090
19078855649,111,7,20/05/2025,04/06/2025,J21.1,J21.1,14068657547,HOSP0091
21129901416,105,14,07/04/2025,,E11.22,,03097010200,HOSP0092
25019159602,155,1,19/08/2025,,E11.11,,23109328387,HOSP0093
29120446388,187,14,06/01/2025,18/01/2025,A22.2,A22.2,26077911825,HOSP0094
31120254502,162,14,28/05/2025,08/06/2025,R34.9,C62.0,11037632460,HOSP0095
17065133186,126,5,07/11/2025,19/11/2025,R01.1,R01.1,27118867913,HOSP0096
15124407117,188,2,04/08/2025,08/08/2025,J47.0,J47.9,13049461046,HOSP0097
02095990711,102,1,14/05/2025,02/06/2025,K51.1,K51.1,14068454455,HOSP0098
19031386384,128,4,16/05/2025,,J10.0,,14068454455,HOSP0099
19078855649,160,6,03/01/2025,06/01/2025,A19.9,A19.9,20129473958,HOSP0100
01044290797,214,6,29/05/2025,10/06/2025,K41.4,A15.8,25088361954,HOSP0101
09096723413,244,5,09/01/2025,12/01/2025,J10.0,J10.0,08067254671,HOSP0102
19078855649,201,6,01/01/2026,10/01/2026,K70.4,K70.9,19027042703,HOSP0103
14015634691,210,12,25/08/2025,06/09/2025,A01.03,A01.09,15017712540,HOSP0104
29109192237,177,2,29/06/2025,04/07/2025,Z01.81,I50.813,27088489716,HOSP0105
14079135579,133,8,31/03/2025,05/04/2025,E10.7,E10.7,19068499945,HOSP0106
08016617181,212,15,21/03/2025,29/03/2025,Z21.9,Z21.9,15049536264,HOSP0107
17095898933,238,15,25/10/2025,13/11/2025,K29.1,K29.3,27068211641,HOSP0108
17120568945,231,8,03/10/2025,11/10/2025,K51.5,K51.5,10029231282,HOSP0109
09041175482,202,15,09/03/2025,,E10.10,,02079509018,HOSP0110
13119506037,143,15,07/11/2025,,R40.20,,23089628691,HOSP0111
04023727822,142,2,17/09/2025,29/09/2025,R06.0,J45.9,22058711355,HOSP0112
04019807181,173,7,05/05/2025,09/05/2025,R26.8,R26.8,15058853856,HOSP0113
18072138837,135,3,21/03/2025,,E11.2,,09069835210,HOSP0114
25019810299,148,3,28/01/2025,,A00.1,,11128142535,HOSP0115
20031968375,131,12,03/04/2025,18/04/2025,R01.1,R01.1,11089156345,HOSP0116
16017011366,192,11,01/06/2025,19/06/2025,A05.9,A05.9,08098876033,HOSP0117
14084262266,111,2,23/02/2025,25/02/2025,A18.2,A18.2,13049461046,HOSP0118
15124407117,142,9,22/08/2025,,C15.8,,01017994063,HOSP0119
22019927926,203,8,07/09/2025,,R06.0,,07077151892,HOSP0120
17095898933,102,13,17/02/2025,09/03/2025,A15.7,A20.1,15049536264,HOSP0121
02067267206,242,14,17/10/2025,03/11/2025,C16.3,Z13.1,20107782446,HOSP0122
10105014292,222,13,12/05/2025,17/05/2025,A04.0,A04.0,19068499945,HOSP0123
19031386384,229,13,04/12/2025,21/12/2025,I50.82,I50.82,01078709081,HOSP0124
15050352862,148,4,12/08/2025,16/08/2025,A02.1,A02.0,25038366323,HOSP0125
31038630844,130,1,09/03/2025,10/03/2025,Z20.8,Z20.8,07047704008,HOSP0126
09041703382,212,3,27/07/2025,31/07/2025,K59.8,K59.8,14068460317,HOSP0127
06038128176,152,1,28/05/2025,,E10.10,,15097351018,HOSP0128
07108601683,120,7,25/07/2025,11/08/2025,J47.0,J47.9,05068627165,HOSP0129
25019810299,105,6,19/05/2025,06/06/2025,A04.3,A04.3,04038814069,HOSP0130
11086456641,108,11,01/03/2025,02/03/2025,C50.2,K80.5,10127299727,HOSP0131
10097428483,216,14,03/07/2025,23/07/2025,K35.81,K35.80,14068460317,HOSP0132
02084522172,234,7,01/05/2025,20/05/2025,K70.4,K70.9,15117172269,HOSP0133
06030546076,128,2,22/04/2025,27/04/2025,Z09.3,Z09.3,19027042703,HOSP0134
25127470564,237,12,16/02/2025,22/02/2025,I61.6,I61.6,02099121657,HOSP0135
06035345001,246,5,18/12/2025,19/12/2025,A03.0,A03.0,19119473421,HOSP0136
07108601683,158,11,18/05/2025,,Z09.4,,13019612551,HOSP0137
22111100001,207,1,14/02/2025,21/02/2025,A18.4,A18.4,08098876033,HOSP0138
04034977146,215,13,20/01/2025,01/02/2025,K80.0,K80.2,08029135276,HOSP0139
16014450835,101,8,15/07/2025,,J17.0,,14068147892,HOSP0140
29098796122,197,7,12/09/2025,,C34.1,,13028919776,HOSP0141
26015578828,118,2,07/11/2025,26/11/2025,E11.11,E11.9,01078709081,HOSP0142
11086456641,222,8,26/03/2025,07/04/2025,K76.8,K76.8,13028919776,HOSP0143
27068656770,110,4,21/03/2025,31/03/2025,A17.0,A17.0,19119473421,HOSP0144
05081513360,141,5,19/06/2025,,R07.9,,11097590670,HOSP0145
04095936992,225,2,03/02/2025,09/02/2025,K35.81,K35.80,07077151892,HOSP0146
31038630844,203,3,23/02/2025,26/02/2025,J44.0,J44.9,07077151892,HOSP0147
22015851773,197,15,07/11/2025,,J20.6,,21108836044,HOSP0148
15024496512,236,8,14/07/2025,19/07/2025,E11.3,E11.3,10067512301,HOSP0149
29092191625,240,1,12/09/2025,21/09/2025,J47.0,J47.9,19017616694,HOSP0150
08084891164,129,2,09/05/2025,19/05/2025,K20.1,K20.0,23109328387,HOSP0151
10096855847,115,6,23/03/2025,,C16.1,,22079147319,HOSP0152
30089084860,231,15,09/09/2025,23/09/2025,K31.9,K31.9,09069835210,HOSP0153
08037862959,240,9,09/02/2025,19/02/2025,R15.9,R15.9,08029135276,HOSP0154
29109192237,187,13,06/07/2025,09/07/2025,J47.1,J47.1,20089756223,HOSP0155
25019810299,120,13,28/09/2025,09/10/2025,Z12.3,A18.5,10067512301,HOSP0156
23059095347,196,4,31/05/2025,14/06/2025,R10.4,K57.9,21108044617,HOSP0157
02059144498,237,9,04/03/2025,23/03/2025,J47.1,A17.8,01017994063,HOSP0158
04019807181,242,6,01/05/2025,21/05/2025,E11.11,E11.9,10069055761,HOSP0159
24055611139,128,7,04/05/2025,23/05/2025,K59.1,K59.1,14068657547,HOSP0160
17070904606,244,9,17/11/2025,,A06.3,,14068147892,HOSP0161
05046712721,243,8,06/05/2025,,K70.4,,24047132066,HOSP0162
02067267206,116,6,08/10/2025,21/10/2025,Z01.1,Z01.1,01097368772,HOSP0163
05061834712,146,7,25/12/2025,27/12/2025,A22.7,A22.7,02057872054,HOSP0164
20121841079,201,3,12/02/2025,19/02/2025,K29.0,K29.2,13049461046,HOSP0165
04034977146,190,9,22/04/2025,10/05/2025,K35.81,K35.80,14068454455,HOSP0166
16027171867,120,2,07/07/2025,,Z13.1,,11097590670,HOSP0167
22126603824,218,12,25/11/2025,08/12/2025,K20.1,K20.0,11037632460,HOSP0168
10105014292,220,1,29/09/2025,01/10/2025,J47.1,J47.1,07088253449,HOSP0169
16017011366,174,13,06/09/2025,20/09/2025,A00.0,A00.9,11097590670,HOSP0170
24025720735,115,7,16/02/2025,21/02/2025,C25.8,C25.8,05068627165,HOSP0171
04023727822,108,6,19/04/2025,20/04/2025,K70.2,K70.2,23098441244,HOSP0172
19031386384,133,5,20/05/2025,22/05/2025,C00.4,C00.4,08067254671,HOSP0173
14076434320,103,15,02/04/2025,15/04/2025,C08.9,K29.70,07047704008,HOSP0174
14129469038,215,14,10/02/2025,,C34.0,,27088489716,HOSP0175
10100544930,210,13,15/04/2025,04/05/2025,C16.1,C16.1,22079147319,HOSP0176
19105276429,159,13,27/09/2025,,E78.5,,27088489716,HOSP0177
15050352862,206,6,28/04/2025,29/04/2025,Z00.0,J20.7,07028516218,HOSP0178
16015808119,231,11,02/03/2025,05/03/2025,K59.9,K59.9,04038814069,HOSP0179
22126603824,158,12,03/01/2025,15/01/2025,E10.49,E10.49,08098876033,HOSP0180
21033773651,163,10,18/11/2025,19/11/2025,J44.0,J44.9,11128142535,HOSP0181
25100437290,146,2,30/06/2025,,A00.0,,05068627165,HOSP0182
22081541567,107,10,23/09/2025,10/10/2025,K80.6,K80.6,19017616694,HOSP0183
26071889698,134,1,28/04/2025,,K76.3,,08029135276,HOSP0184
18059654594,125,9,26/11/2025,10/12/2025,R10.4,K57.9,04128449668,HOSP0185
09041703382,249,14,11/06/2025,,C25.0,,14068147892,HOSP0186
04126057627,211,10,03/09/2025,08/09/2025,K70.4,K70.9,25088361954,HOSP0187
31129728592,186,14,14/08/2025,01/09/2025,A05.8,A05.8,27118867913,HOSP0188
03016018913,100,14,17/12/2025,23/12/2025,A00.0,A00.9,19039652726,HOSP0189
03028494677,111,4,31/05/2025,,R25.0,,23098441244,HOSP0190
09041703382,137,9,02/11/2025,17/11/2025,C02.4,C02.4,20129473958,HOSP0191
23056411777,205,4,28/01/2025,,K80.1,,18129709560,HOSP0192
19052189507,214,2,31/07/2025,13/08/2025,K80.0,K80.2,15128896549,HOSP0193
08091895391,229,2,21/11/2025,30/11/2025,K80.0,K80.2,10127299727,HOSP0194
16113864282,118,13,03/05/2025,10/05/2025,K29.60,K29.60,13049461046,HOSP0195
22081541567,191,11,22/02/2025,14/03/2025,A01.04,A01.09,27019813766,HOSP0196
08105009677,211,9,02/01/2025,,Z13.5,,07047704008,HOSP0197
10097428483,230,12,19/12/2025,04/01/2026,K20.0,K20.0,13028919776,HOSP0198
01036441475,199,8,05/07/2025,08/07/2025,A19.9,A19.9,13019612551,HOSP0199
08091895391,180,13,13/08/2025,,K80.4,,11037632460,HOSP0200
30099133128,237,2,30/07/2025,,K51.0,,21108836044,HOSP0201
14060079798,133,3,10/01/2025,14/01/2025,K57.2,K57.2,02099121657,HOSP0202
20121565307,165,5,17/11/2025,01/12/2025,A01.03,A01.09,26077911825,HOSP0203
17070904606,121,7,20/12/2025,03/01/2026,A00.0,A00.9,09038238737,HOSP0204
13119506037,177,7,30/08/2025,13/09/2025,E11.11,E11.9,14029425785,HOSP0205
24102254188,184,2,28/08/2025,08/09/2025,K80.0,K80.2,08029135276,HOSP0206
29031814434,111,12,21/08/2025,07/09/2025,K29.5,K29.5,11097590670,HOSP0207
14015634691,179,10,14/04/2025,15/04/2025,E66.0,E66.0,14068657547,HOSP0208
25019159602,158,15,14/11/2025,15/11/2025,J15.2,C13.9,23109328387,HOSP0209
02084522172,116,4,12/02/2025,04/03/2025,Z13.5,K70.2,21108044617,HOSP0210
09107452015,159,8,10/04/2025,25/04/2025,C00.9,C00.9,19119473421,HOSP0211
25019159602,163,12,12/04/2025,,R07.9,,13049461046,HOSP0212
24102254188,247,13,27/11/2025,12/12/2025,K35.81,K35.80,22079147319,HOSP0213
18088849491,187,13,16/02/2025,05/03/2025,C01.9,K80.3,15087849249,HOSP0214
13078790040,180,3,05/07/2025,22/07/2025,K41.4,K41.4,08067254671,HOSP0215
05100756260,175,8,22/05/2025,01/06/2025,K76.3,Z04.3,01097368772,HOSP0216
30099133128,197,10,26/08/2025,29/08/2025,Z00.2,Z00.2,22058711355,HOSP0217
02084522172,108,7,23/05/2025,09/06/2025,I10.10,I10.10,08029135276,HOSP0218
30041981382,212,10,02/02/2025,,K29.0,,20129473958,HOSP0219
09089350295,151,11,10/01/2025,13/01/2025,C50.0,C50.0,23098441244,HOSP0220
29080163916,150,4,18/06/2025,19/06/2025,E11.23,E11.23,02057872054,HOSP0221
22081541567,174,13,20/10/2025,,J47.0,,04038814069,HOSP0222
24073893537,143,2,19/02/2025,,R06.1,,14068657547,HOSP0223
08121003803,144,12,10/11/2025,23/11/2025,E11.01,E11.9,08067254671,HOSP0224
19031386384,170,11,29/07/2025,31/07/2025,J20.2,J20.2,27017221497,HOSP0225
06045568165,103,14,14/07/2025,16/07/2025,K29.0,K29.2,27118867913,HOSP0226
08084891164,162,7,21/11/2025,,A16.2,,16049003305,HOSP0227
27126462553,226,5,12/01/2025,18/01/2025,Z12.2,Z12.2,19068499945,HOSP0228
14076434320,229,10,21/12/2025,04/01/2026,K29.0,K29.2,25088361954,HOSP0229
18094719972,233,8,21/02/2025,12/03/2025,I50.83,I50.83,16049003305,HOSP0230
26080647750,134,10,10/01/2025,,K59.3,,28017947129,HOSP0231
05048423564,147,9,02/02/2025,17/02/2025,E10.10,E10.9,18069689187,HOSP0232
21076611864,225,11,07/09/2025,,R20.9,,24047132066,HOSP0233
15029202476,194,8,11/09/2025,30/09/2025,A01.03,A01.09,20129473958,HOSP0234
10105014292,210,12,05/04/2025,06/04/2025,Z02.9,Z02.9,01097368772,HOSP0235
16049499213,183,1,20/04/2025,21/04/2025,A02.1,A02.0,22058711355,HOSP0236
08103612090,171,10,08/05/2025,,Z02.3,,10029231282,HOSP0237
06045568165,119,6,28/09/2025,09/10/2025,K29.2,K29.2,02079509018,HOSP0238
22111100001,122,5,07/09/2025,11/09/2025,K30.9,K30.9,15049536264,HOSP0239
23059095347,164,10,22/02/2025,23/02/2025,A18.7,A18.7,10127299727,HOSP0240
31038630844,100,2,13/08/2025,14/08/2025,C06.0,C06.0,18069689187,HOSP0241
27094900961,113,6,23/05/2025,,J45.8,,19039652726,HOSP0242
18094719972,196,10,29/07/2025,,R26.0,,13028919776,HOSP0243
10099511012,177,7,20/01/2025,29/01/2025,K59.9,K59.9,04038814069,HOSP0244
22063740876,243,13,02/08/2025,09/08/2025,E11.11,E11.9,04128449668,HOSP0245
14079135579,222,9,30/05/2025,10/06/2025,A15.9,A15.9,27068211641,HOSP0246
10012344856,243,7,01/10/2025,17/10/2025,I25.110,I25.110,01017994063,HOSP0247
04114994138,101,3,26/10/2025,,E11.11,,21108044617,HOSP0248
09041175482,123,9,09/10/2025,14/10/2025,E10.10,E10.9,14068454455,HOSP0249
25019159602,118,13,21/03/2025,25/03/2025,R07.9,I25.10,07077151892,HOSP0250
19078855649,147,6,29/01/2025,06/02/2025,I61.0,I61.0,10069055761,HOSP0251
17095898933,222,10,12/07/2025,,E66.09,,22079147319,HOSP0252
20121841079,157,3,21/03/2025,,A00.0,,21108836044,HOSP0253
21033773651,247,4,14/11/2025,,J20.7,,10069055761,HOSP0254
21118672045,169,4,15/03/2025,23/03/2025,E11.32,E11.32,28017947129,HOSP0255
04034977146,201,1,25/11/2025,14/12/2025,C16.3,C16.3,13028919776,HOSP0256
25019810299,175,12,04/12/2025,,A01.03,,26077911825,HOSP0257
11086456641,246,13,29/11/2025,,C15.1,,15058853856,HOSP0258
13047704715,200,7,09/08/2025,22/08/2025,A08.0,A08.0,07047704008,HOSP0259
05081513360,196,4,14/09/2025,29/09/2025,R10.4,K57.9,27118867913,HOSP0260
19095683932,202,11,21/05/2025,,K70.4,,18069689187,HOSP0261
12076969264,234,1,22/06/2025,08/07/2025,J44.1,J44.9,15097351018,HOSP0262
22015851773,109,8,11/06/2025,26/06/2025,A00.0,A00.9,07088253449,HOSP0263
25051335386,214,8,28/10/2025,12/11/2025,I63.2,I63.2,27068211641,HOSP0264
31129728592,151,8,18/12/2025,20/12/2025,J45.9,J45.9,14068657547,HOSP0265
21051378462,199,2,07/01/2025,22/01/2025,C04.1,C04.1,09038238737,HOSP0266
14129469038,116,15,07/12/2025,14/12/2025,A00.1,A00.9,13019612551,HOSP0267
10099511012,194,2,09/05/2025,12/05/2025,E10.10,E10.9,14068147892,HOSP0268
10096714516,189,2,18/12/2025,19/12/2025,J44.0,J44.9,08098876033,HOSP0269
08103612090,152,3,17/09/2025,03/10/2025,J12.8,J12.8,14068460317,HOSP0270
27037329919,241,7,12/06/2025,24/06/2025,J20.4,J20.4,14068657547,HOSP0271
21094260806,166,13,22/06/2025,,J45.9,,11128142535,HOSP0272
04114994138,113,15,30/08/2025,10/09/2025,C00.0,C00.0,23109328387,HOSP0273
07064352297,227,15,09/03/2025,13/03/2025,E10.10,E10.9,22079147319,HOSP0274
21129901416,145,4,03/09/2025,11/09/2025,C09.8,C08.9,21108836044,HOSP0275
03028494677,125,14,05/01/2025,06/01/2025,Z04.6,Z04.6,14068460317,HOSP0276
12076969264,100,15,06/01/2025,22/01/2025,J44.1,J44.9,20089756223,HOSP0277
21129901416,234,4,12/01/2025,22/01/2025,A01.04,A01.09,23089628691,HOSP0278
11086456641,100,2,27/07/2025,13/08/2025,A18.6,A18.6,23089628691,HOSP0279
21129901416,190,14,15/03/2025,19/03/2025,E11.01,E11.9,02057872054,HOSP0280
19048076927,123,8,25/01/2025,09/02/2025,J22.9,J22.9,16049003305,HOSP0281
25100437290,159,4,01/03/2025,,K41.3,,10069055761,HOSP0282
26046559028,116,2,30/01/2025,07/02/2025,R40.22,R40.22,02099121657,HOSP0283
14129469038,248,11,23/08/2025,07/09/2025,C50.3,E11.23,02017515937,HOSP0284
18094719972,118,10,17/01/2025,,A00.1,,07077151892,HOSP0285
22019927926,192,14,16/07/2025,23/07/2025,K20.1,K20.0,23109328387,HOSP0286
03028494677,103,13,05/06/2025,17/06/2025,A01.03,A01.09,27088489716,HOSP0287
14084262266,147,14,17/03/2025,04/04/2025,A16.1,A16.1,20089756223,HOSP0288
18094719972,196,2,26/02/2025,02/03/2025,R35.9,R35.9,07028516218,HOSP0289
13119506037,182,8,09/12/2025,24/12/2025,J15.20,J15.20,19017616694,HOSP0290
09107452015,206,6,21/11/2025,09/12/2025,K57.4,C25.0,18129709560,HOSP0291
03028494677,169,11,06/08/2025,11/08/2025,K29.1,K29.3,10119572869,HOSP0292
05100756260,219,10,27/11/2025,29/11/2025,A01.04,A01.09,14068454455,HOSP0293
16113864282,143,12,28/03/2025,,E10.649,,02017515937,HOSP0294
15124407117,166,4,07/07/2025,14/07/2025,Z02.1,Z02.1,27088489716,HOSP0295
02095990711,176,14,30/12/2025,07/01/2026,J44.0,J44.9,25038366323,HOSP0296
01036441475,101,9,11/10/2025,24/10/2025,E10.649,Z21.9,14068657547,HOSP0297
04126057627,226,1,01/09/2025,04/09/2025,K20.1,K20.0,18129709560,HOSP0298
31038630844,201,4,20/09/2025,22/09/2025,R07.9,I25.10,18129709560,HOSP0299
06045568165,163,13,20/06/2025,07/07/2025,I63.2,I10.90,13028919776,HOSP0300
09078026660,194,8,17/02/2025,02/03/2025,A18.82,C25.9,19117791727,HOSP0301
22019927926,225,6,01/04/2025,15/04/2025,R40.2,R11.2,13019612551,HOSP0302
29055353953,178,10,27/08/2025,06/09/2025,C62.1,Z02.81,11097590670,HOSP0303
18094719972,182,13,21/08/2025,10/09/2025,Z02.0,Z02.0,27068211641,HOSP0304
22015851773,152,8,21/07/2025,29/07/2025,J10.1,J10.1,14068460317,HOSP0305
03028494677,181,4,03/09/2025,04/09/2025,E11.11,E11.9,02017515937,HOSP0306
29049814155,101,1,20/08/2025,,C62.0,,28017947129,HOSP0307
26081628588,159,2,05/01/2025,16/01/2025,C25.1,C25.1,25088361954,HOSP0308
10105014292,110,12,04/12/2025,12/12/2025,J47.0,J47.9,14029425785,HOSP0309
09096723413,150,12,28/09/2025,07/10/2025,A04.6,A04.6,10127299727,HOSP0310
08121003803,113,9,23/12/2025,08/01/2026,J44.0,J44.9,03029319675,HOSP0311
04019807181,236,9,09/06/2025,29/06/2025,D44.0,E10.61,14068454455,HOSP0312
09096723413,149,1,26/07/2025,12/08/2025,Z12.5,I63.9,20107782446,HOSP0313
20051663660,226,11,04/10/2025,24/10/2025,R25.9,R25.9,20107782446,HOSP0314
20121565307,239,13,24/01/2025,09/02/2025,C34.3,C34.3,28017947129,HOSP0315
20121841079,146,3,21/07/2025,31/07/2025,K51.3,K51.3,18069689187,HOSP0316
29031814434,153,6,20/02/2025,28/02/2025,J44.0,J44.9,10127299727,HOSP0317
14129469038,124,14,22/08/2025,31/08/2025,E66.9,I63.8,01078709081,HOSP0318
14101881315,138,11,31/12/2025,,A01.03,,09038238737,HOSP0319
29109192237,194,13,28/08/2025,,R06.0,,03029319675,HOSP0320
29031814434,241,12,30/08/2025,07/09/2025,C13.8,C13.8,15017712540,HOSP0321
