amka_iatrou,amka_as8eni,kwdikos_farmakou,imerominia_enarxis,imerominia_lixis,dosologia,syxnotita,ID_nosileias
28026692058,17089610796,110242,2023-03-05,2023-03-08,2 δισκία,μετά το φαγητό,20
28026692058,17089610796,98874,2023-03-05,2023-03-15,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),20
20039794570,30119609169,17716,2023-03-08,2023-03-12,15 ml,κάθε 12 ώρες (πρωί-βράδυ),21
20039794570,30119609169,66638,2023-03-08,2023-03-12,1 κάψουλα,μία φορά το πρωί,21
20039794570,30119609169,108095,2023-03-08,2023-03-11,1 ενέσιμο αμπούλα,προ ύπνου,21
10094598570,27100139422,53874,2023-03-10,2023-03-13,15 ml,μία φορά το πρωί,22
10094598570,27100139422,46372,2023-03-10,2023-03-12,15 ml,προ ύπνου,22
10094598570,27100139422,125883,2023-03-10,2023-03-13,1/2 δισκίο,μετά το φαγητό,22
07100156298,05089884953,33273,2023-03-12,2023-03-14,2 δισκία,προ ύπνου,23
07100156298,05089884953,125508,2023-03-12,2023-03-13,15 ml,κάθε 8 ώρες,23
07100156298,05089884953,58500,2023-03-12,2023-03-15,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),23
18020449145,17086486097,36979,2023-03-15,2023-03-16,15 ml,μετά το φαγητό,24
22120477375,18076242086,33228,2023-03-19,,1 δισκίο,εφάπαξ,25
22120477375,18076242086,102055,2023-03-19,,15 ml,εφάπαξ,25
22120477375,18076242086,5862,2023-03-19,,1 δισκίο,μετά το φαγητό,25
15089851983,26018673990,148105,2023-03-20,2023-03-27,1/2 δισκίο,εφάπαξ,26
15089851983,26018673990,117195,2023-03-20,2023-03-22,1 ενέσιμο αμπούλα,κάθε 8 ώρες,26
08088799158,07025648436,32865,2023-03-23,2023-03-31,1/2 δισκίο,μετά το φαγητό,27
08088799158,07025648436,6882,2023-03-23,2023-03-26,1 ενέσιμο αμπούλα,κάθε 8 ώρες,27
16118595442,16074369547,100915,2023-03-25,2023-04-01,2 δισκία,μία φορά το πρωί,28
16118595442,16074369547,117274,2023-03-25,2023-03-31,1 κάψουλα,κάθε 8 ώρες,28
16118595442,16074369547,117603,2023-03-25,2023-03-27,1 ενέσιμο αμπούλα,μία φορά το πρωί,28
04010443316,23035977126,126660,2023-03-31,2023-04-02,1 κάψουλα,μετά το φαγητό,29
18050675294,15129887046,70225,2023-04-01,2023-04-03,2 δισκία,κάθε 12 ώρες (πρωί-βράδυ),30
18050675294,15129887046,107551,2023-04-01,2023-04-02,1/2 δισκίο,μία φορά το πρωί,30
23028627654,30098579446,47837,2023-04-03,,15 ml,μετά το φαγητό,31
23028627654,30098579446,136699,2023-04-03,,1/2 δισκίο,μία φορά το πρωί,31
23028627654,30098579446,116835,2023-04-03,,1 κάψουλα,μετά το φαγητό,31
24088546021,22035062029,121743,2023-04-05,2023-04-13,2 δισκία,προ ύπνου,32
21110456039,29078056776,162112,2023-04-06,2023-04-08,1 ενέσιμο αμπούλα,προ ύπνου,33
21110456039,29078056776,10932,2023-04-06,2023-04-08,1 κάψουλα,μία φορά το πρωί,33
21110456039,29078056776,65615,2023-04-06,2023-04-13,1 κάψουλα,εφάπαξ,33
20039794570,12016289283,16379,2023-04-07,2023-04-11,1 δισκίο,κάθε 8 ώρες,34
20039794570,12016289283,8742,2023-04-07,2023-04-08,1/2 δισκίο,εφάπαξ,34
24088546021,14055158747,10799,2023-04-19,2023-04-20,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),35
24088546021,14055158747,69636,2023-04-19,2023-04-21,15 ml,μετά το φαγητό,35
24088546021,14055158747,119574,2023-04-19,2023-04-21,1 δισκίο,προ ύπνου,35
19110834569,03039892139,18296,2023-04-19,2023-04-23,15 ml,μετά το φαγητό,36
14129831939,23055868978,159972,2023-04-30,2023-05-08,2 δισκία,μία φορά το πρωί,37
14129831939,23055868978,85697,2023-04-30,2023-05-08,1 δισκίο,μετά το φαγητό,37
02078042045,08118005072,9278,2023-05-02,2023-05-06,2 δισκία,κάθε 8 ώρες,38
19075521849,22056004139,134398,2023-05-04,2023-05-06,15 ml,κάθε 12 ώρες (πρωί-βράδυ),39
23028627654,24105758308,2125,2023-05-05,2023-05-12,15 ml,μία φορά το πρωί,40
18114432106,11036301026,140948,2023-05-06,2023-05-10,1/2 δισκίο,μετά το φαγητό,41
18114432106,11036301026,62149,2023-05-06,2023-05-09,1/2 δισκίο,κάθε 8 ώρες,41
18114432106,11036301026,116417,2023-05-06,2023-05-07,15 ml,μετά το φαγητό,41
31084428740,30098579446,98695,2023-05-08,2023-05-15,15 ml,μετά το φαγητό,42
31084428740,30098579446,158089,2023-05-08,2023-05-12,1 κάψουλα,μετά το φαγητό,42
23028627654,28127165521,87888,2023-05-10,2023-05-16,15 ml,εφάπαξ,43
23028627654,28127165521,82446,2023-05-10,2023-05-20,1/2 δισκίο,μία φορά το πρωί,43
28120467810,12059650695,42814,2023-05-17,2023-05-26,15 ml,μία φορά το πρωί,44
17019537542,01027315996,84431,2023-05-17,2023-05-19,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),45
17019537542,01027315996,15652,2023-05-17,2023-05-19,1 δισκίο,προ ύπνου,45
08119651767,24116938524,109639,2023-05-21,2023-05-23,1 ενέσιμο αμπούλα,μία φορά το πρωί,46
05068650481,25110455645,109860,2023-05-21,2023-05-23,1 δισκίο,μετά το φαγητό,47
05068650481,25110455645,141641,2023-05-21,2023-05-28,1/2 δισκίο,μία φορά το πρωί,47
21119438801,27100139422,111470,2023-05-27,2023-05-30,15 ml,προ ύπνου,48
21119438801,27100139422,135544,2023-05-27,2023-05-28,15 ml,κάθε 12 ώρες (πρωί-βράδυ),48
21119438801,27100139422,29203,2023-05-27,2023-05-28,1 ενέσιμο αμπούλα,μία φορά το πρωί,48
10094598570,10038144581,132777,2023-05-28,2023-05-30,1 δισκίο,μετά το φαγητό,49
10094598570,10038144581,154194,2023-05-28,2023-05-29,2 δισκία,προ ύπνου,49
19075521849,23106760849,23880,2023-05-31,2023-06-07,15 ml,μετά το φαγητό,50
19075521849,23106760849,122456,2023-05-31,2023-06-02,2 δισκία,μετά το φαγητό,50
19075521849,23106760849,32885,2023-05-31,2023-06-10,15 ml,προ ύπνου,50
05068650481,07025648436,160585,2023-06-03,2023-06-06,1 δισκίο,προ ύπνου,51
15089851983,22047993944,144297,2023-06-03,2023-06-13,1 δισκίο,προ ύπνου,52
19089017616,19030348414,27142,2023-06-03,2023-06-12,1 δισκίο,μετά το φαγητό,53
19089017616,19030348414,40646,2023-06-03,2023-06-05,1 ενέσιμο αμπούλα,εφάπαξ,53
02087077516,04048854946,41949,2023-06-06,2023-06-08,1 ενέσιμο αμπούλα,μετά το φαγητό,54
02087077516,04048854946,106293,2023-06-06,2023-06-15,1 δισκίο,μία φορά το πρωί,54
11100467158,24026275714,70877,2023-06-07,2023-06-09,1 δισκίο,εφάπαξ,55
11100467158,24026275714,105460,2023-06-07,2023-06-10,1 κάψουλα,εφάπαξ,55
18050675294,12059650695,154981,2023-06-07,2023-06-10,1 κάψουλα,κάθε 8 ώρες,56
18050675294,12059650695,100043,2023-06-07,2023-06-10,2 δισκία,προ ύπνου,56
29109569303,15129887046,133649,2023-06-08,2023-06-16,1 κάψουλα,μετά το φαγητό,57
29109569303,15129887046,84458,2023-06-08,2023-06-18,1 κάψουλα,κάθε 8 ώρες,57
29109569303,15129887046,64169,2023-06-08,2023-06-19,1 ενέσιμο αμπούλα,μετά το φαγητό,57
29049732701,26105808540,28047,2023-06-12,2023-06-20,1/2 δισκίο,κάθε 8 ώρες,58
29049732701,26105808540,110364,2023-06-12,2023-06-19,1 δισκίο,εφάπαξ,58
16118595442,25114766832,29320,2023-06-12,2023-06-17,15 ml,μετά το φαγητό,59
16118595442,25114766832,123881,2023-06-12,2023-06-18,15 ml,μετά το φαγητό,59
16118595442,25114766832,50663,2023-06-12,2023-06-13,15 ml,εφάπαξ,59
31084428740,09069561018,78828,2023-06-16,2023-06-26,15 ml,μία φορά το πρωί,60
31084428740,09069561018,73483,2023-06-16,2023-06-21,2 δισκία,εφάπαξ,60
03056595064,29049156103,140978,2023-06-18,2023-06-22,1 κάψουλα,προ ύπνου,61
07109876453,05098106243,101636,2023-06-21,2023-06-28,15 ml,εφάπαξ,62
03049296161,10127699608,72021,2023-06-23,2023-06-29,2 δισκία,προ ύπνου,63
03049296161,10127699608,39333,2023-06-23,2023-06-24,1/2 δισκίο,εφάπαξ,63
06050738238,02037342458,55706,2023-06-27,2023-07-05,1 δισκίο,κάθε 8 ώρες,64
14129831939,20049280002,62306,2023-07-04,2023-07-06,1 δισκίο,κάθε 8 ώρες,65
14129831939,20049280002,48004,2023-07-04,2023-07-06,1 κάψουλα,προ ύπνου,65
14129831939,20049280002,50469,2023-07-04,2023-07-06,1 ενέσιμο αμπούλα,μετά το φαγητό,65
22040585135,27114223727,71258,2023-07-04,2023-07-05,2 δισκία,κάθε 8 ώρες,66
22040585135,27114223727,108972,2023-07-04,2023-07-05,15 ml,προ ύπνου,66
22040585135,27114223727,81445,2023-07-04,2023-07-05,2 δισκία,προ ύπνου,66
15124501431,20050616601,143635,2023-07-08,2023-07-14,1/2 δισκίο,εφάπαξ,67
15124501431,20050616601,152027,2023-07-08,2023-07-12,1 δισκίο,προ ύπνου,67
15124501431,19025178439,115797,2023-07-09,2023-07-11,1 κάψουλα,μετά το φαγητό,68
15124501431,19025178439,2774,2023-07-09,2023-07-10,1 ενέσιμο αμπούλα,προ ύπνου,68
21119438801,19030348414,7721,2023-07-24,2023-07-31,15 ml,προ ύπνου,69
19029051436,25114766832,132265,2023-07-25,2023-07-31,2 δισκία,μετά το φαγητό,70
11087946135,04027802012,153305,2023-08-02,2023-08-13,15 ml,κάθε 12 ώρες (πρωί-βράδυ),71
17019537542,17084510025,135979,2023-08-03,2023-08-11,1 δισκίο,μετά το φαγητό,72
17019537542,17084510025,89394,2023-08-03,2023-08-12,2 δισκία,μία φορά το πρωί,72
28120467810,16080609722,158988,2023-08-04,2023-08-11,1/2 δισκίο,μία φορά το πρωί,73
28120467810,16080609722,71247,2023-08-04,2023-08-07,15 ml,κάθε 8 ώρες,73
03049296161,05110633308,25911,2023-08-10,2023-08-11,15 ml,κάθε 12 ώρες (πρωί-βράδυ),74
07034474162,18026581848,121204,2023-08-11,2023-08-16,1 ενέσιμο αμπούλα,μία φορά το πρωί,75
07034474162,18026581848,124641,2023-08-11,2023-08-13,1 κάψουλα,κάθε 8 ώρες,75
16068107499,30129389723,134411,2023-08-12,2023-08-18,1 ενέσιμο αμπούλα,μία φορά το πρωί,76
16068107499,30129389723,101463,2023-08-12,2023-08-15,1/2 δισκίο,προ ύπνου,76
16068107499,30129389723,4013,2023-08-12,2023-08-13,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),76
24100569128,27087797722,136916,2023-08-13,2023-08-15,1 ενέσιμο αμπούλα,μετά το φαγητό,77
24100569128,27087797722,14608,2023-08-13,2023-08-23,1/2 δισκίο,μία φορά το πρωί,77
24100569128,27087797722,12182,2023-08-13,2023-08-17,1 δισκίο,μετά το φαγητό,77
06126222477,06116602025,7123,2023-08-13,2023-08-14,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),78
06126222477,06116602025,574,2023-08-13,2023-08-14,1 κάψουλα,προ ύπνου,78
06126222477,06116602025,24230,2023-08-13,2023-08-15,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),78
02087077516,19117605737,46816,2023-08-19,2023-08-24,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),79
02087077516,19117605737,65807,2023-08-19,2023-08-24,1 δισκίο,μία φορά το πρωί,79
08088799158,09026562599,103339,2023-08-20,2023-08-24,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),80
08088799158,09026562599,120298,2023-08-20,2023-08-22,1 κάψουλα,μετά το φαγητό,80
26067425558,05110633308,111643,2023-08-22,,1 κάψουλα,κάθε 8 ώρες,81
26067425558,05110633308,55486,2023-08-22,,15 ml,μετά το φαγητό,81
26067425558,05110633308,20361,2023-08-22,,15 ml,κάθε 8 ώρες,81
05038348846,14038546502,120267,2023-08-26,2023-08-27,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),82
16118595442,09087148284,105910,2023-08-28,2023-09-02,1 δισκίο,μία φορά το πρωί,83
16118595442,09087148284,75933,2023-08-28,2023-08-30,15 ml,κάθε 8 ώρες,83
18114432106,11018863136,73613,2023-08-31,2023-09-03,15 ml,προ ύπνου,84
24088546021,23106760849,3403,2023-09-02,,2 δισκία,μετά το φαγητό,85
24088546021,23106760849,128734,2023-09-02,,1 δισκίο,προ ύπνου,85
03056595064,17084510025,76650,2023-09-05,2023-09-08,1 κάψουλα,μετά το φαγητό,86
03056595064,17084510025,23737,2023-09-05,2023-09-14,1 κάψουλα,μία φορά το πρωί,86
03037593592,24105758308,64039,2023-09-07,,1/2 δισκίο,μετά το φαγητό,87
03037593592,24105758308,156384,2023-09-07,,1 κάψουλα,μετά το φαγητό,87
11087946135,05089884953,16098,2023-09-12,2023-09-15,1 κάψουλα,εφάπαξ,88
11087946135,05089884953,57538,2023-09-12,2023-09-21,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),88
11087946135,05089884953,152994,2023-09-12,2023-09-19,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),88
06117882147,11036301026,55706,2023-09-14,2023-09-23,1 δισκίο,μία φορά το πρωί,89
06117882147,11036301026,146125,2023-09-14,2023-09-22,1 κάψουλα,εφάπαξ,89
06117882147,11036301026,46279,2023-09-14,2023-09-23,2 δισκία,προ ύπνου,89
20039794570,30088959779,142800,2023-09-17,2023-09-18,15 ml,κάθε 8 ώρες,90
20039794570,30088959779,3988,2023-09-17,2023-09-28,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),90
23056691943,02017791425,111840,2023-09-17,2023-09-19,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),91
15049291643,02036313485,2912,2023-09-19,2023-09-21,1 ενέσιμο αμπούλα,κάθε 8 ώρες,92
15049291643,02036313485,46048,2023-09-19,2023-09-21,1/2 δισκίο,μία φορά το πρωί,92
16118595442,17086486097,114063,2023-09-20,2023-09-25,1 δισκίο,εφάπαξ,93
16118595442,17086486097,127540,2023-09-20,2023-09-22,15 ml,κάθε 8 ώρες,93
16118595442,17086486097,145427,2023-09-20,2023-09-21,15 ml,εφάπαξ,93
24088546021,24019614197,80691,2023-09-21,2023-09-22,1 κάψουλα,μία φορά το πρωί,94
24088546021,24019614197,37398,2023-09-21,2023-09-24,15 ml,μία φορά το πρωί,94
24088546021,24019614197,59074,2023-09-21,2023-09-22,2 δισκία,μία φορά το πρωί,94
31084428740,08034771027,34357,2023-09-22,2023-09-28,1 κάψουλα,εφάπαξ,95
13119759342,21088351440,139397,2023-09-23,2023-09-24,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),96
13119759342,21088351440,93923,2023-09-23,2023-09-30,1/2 δισκίο,μία φορά το πρωί,96
13119759342,21088351440,30448,2023-09-23,2023-09-28,1 δισκίο,προ ύπνου,96
01090729354,11050658021,140400,2023-09-23,2023-09-28,1/2 δισκίο,προ ύπνου,97
01090729354,11050658021,102226,2023-09-23,2023-09-25,1 δισκίο,κάθε 8 ώρες,97
23026866049,20037111704,48666,2023-10-04,2023-10-06,15 ml,μία φορά το πρωί,98
23026866049,20037111704,61759,2023-10-04,2023-10-07,1 κάψουλα,εφάπαξ,98
23026866049,20037111704,87812,2023-10-04,2023-10-05,1/2 δισκίο,μία φορά το πρωί,98
16040493179,22129247575,45973,2023-10-06,2023-10-07,1 κάψουλα,εφάπαξ,99
16040493179,22129247575,144640,2023-10-06,2023-10-10,1 κάψουλα,εφάπαξ,99
16040493179,22129247575,46875,2023-10-06,2023-10-09,1 δισκίο,κάθε 8 ώρες,99
08088799158,21047422567,35609,2023-10-07,,1 ενέσιμο αμπούλα,κάθε 8 ώρες,100
08088799158,21047422567,87548,2023-10-07,,15 ml,μετά το φαγητό,100
08088799158,21047422567,119238,2023-10-07,,2 δισκία,μία φορά το πρωί,100
18060326718,02017791425,134120,2023-10-09,2023-10-12,1 κάψουλα,προ ύπνου,101
18060326718,02017791425,69969,2023-10-09,2023-10-16,2 δισκία,προ ύπνου,101
18060326718,02017791425,134676,2023-10-09,2023-10-17,1/2 δισκίο,προ ύπνου,101
06117882147,09069561018,102282,2023-10-10,,1 κάψουλα,εφάπαξ,102
06117882147,09069561018,58848,2023-10-10,,2 δισκία,κάθε 12 ώρες (πρωί-βράδυ),102
06117882147,09069561018,48961,2023-10-10,,1 κάψουλα,μία φορά το πρωί,102
21119438801,26018673990,131259,2023-10-10,2023-10-11,1 δισκίο,μία φορά το πρωί,103
21119438801,26018673990,4671,2023-10-10,2023-10-12,1 κάψουλα,μία φορά το πρωί,103
16068107499,04027802012,42218,2023-10-16,2023-10-18,15 ml,κάθε 12 ώρες (πρωί-βράδυ),104
16068107499,04027802012,124457,2023-10-16,2023-10-19,1 ενέσιμο αμπούλα,μετά το φαγητό,104
16068107499,04027802012,78307,2023-10-16,2023-10-17,15 ml,εφάπαξ,104
02078042045,15029204990,24503,2023-10-16,2023-10-23,1/2 δισκίο,μία φορά το πρωί,105
22120477375,18095314451,105876,2023-10-18,2023-10-24,15 ml,εφάπαξ,106
01090729354,25104926265,91253,2023-10-21,2023-11-01,1/2 δισκίο,μία φορά το πρωί,107
01090729354,25104926265,143107,2023-10-21,2023-10-31,1 κάψουλα,εφάπαξ,107
20039794570,22119620547,95434,2023-10-22,2023-10-24,15 ml,προ ύπνου,108
20039794570,22119620547,60893,2023-10-22,2023-10-24,2 δισκία,εφάπαξ,108
20039794570,22119620547,62168,2023-10-22,2023-10-25,15 ml,κάθε 8 ώρες,108
05038348846,24116938524,98079,2023-10-25,2023-10-26,1/2 δισκίο,κάθε 8 ώρες,109
29049732701,13069976937,30245,2023-10-25,2023-10-30,1 δισκίο,εφάπαξ,110
29049732701,13069976937,145182,2023-10-25,2023-10-26,2 δισκία,προ ύπνου,110
26067425558,19030348414,112271,2023-10-26,2023-10-29,1 δισκίο,μία φορά το πρωί,111
26067425558,19030348414,35267,2023-10-26,2023-10-27,1 ενέσιμο αμπούλα,μετά το φαγητό,111
03049296161,26100447886,127376,2023-10-28,2023-10-31,1/2 δισκίο,μετά το φαγητό,112
03049296161,26100447886,28895,2023-10-28,2023-10-30,15 ml,εφάπαξ,112
02078042045,21088351440,23581,2023-11-04,2023-11-13,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),113
02078042045,21088351440,34028,2023-11-04,2023-11-16,1 δισκίο,κάθε 8 ώρες,113
02078042045,21088351440,55942,2023-11-04,2023-11-08,1 δισκίο,εφάπαξ,113
10089737527,27088459709,91289,2023-11-06,2023-11-11,1 ενέσιμο αμπούλα,μετά το φαγητό,114
10089737527,27088459709,144212,2023-11-06,2023-11-07,1 ενέσιμο αμπούλα,μετά το φαγητό,114
10089737527,27088459709,139011,2023-11-06,2023-11-07,15 ml,εφάπαξ,114
06050738238,10127699608,17687,2023-11-08,2023-11-12,1/2 δισκίο,κάθε 8 ώρες,115
06050738238,10127699608,57512,2023-11-08,2023-11-13,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),115
06050738238,10127699608,153501,2023-11-08,2023-11-13,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),115
17019537542,25110455645,119980,2023-11-11,2023-11-16,1 δισκίο,προ ύπνου,116
17019537542,25110455645,160128,2023-11-11,2023-11-15,1 ενέσιμο αμπούλα,κάθε 8 ώρες,116
17019537542,25110455645,136014,2023-11-11,2023-11-16,1 δισκίο,προ ύπνου,116
21017437016,27100139422,51113,2023-11-14,2023-11-19,1/2 δισκίο,μετά το φαγητό,117
21017437016,27100139422,86762,2023-11-14,2023-11-23,15 ml,μία φορά το πρωί,117
21017437016,27100139422,104931,2023-11-14,2023-11-25,15 ml,εφάπαξ,117
24088546021,05076151023,33256,2023-11-16,2023-11-23,1 ενέσιμο αμπούλα,προ ύπνου,118
24088546021,05076151023,84671,2023-11-16,2023-11-22,15 ml,κάθε 8 ώρες,118
24088546021,05076151023,57482,2023-11-16,2023-11-18,1 δισκίο,μία φορά το πρωί,118
14129831939,04027802012,32889,2023-11-22,2023-11-27,15 ml,μία φορά το πρωί,119
14129831939,04027802012,35389,2023-11-22,2023-11-23,1/2 δισκίο,κάθε 8 ώρες,119
27099728378,16099945058,97649,2023-11-23,2023-12-04,15 ml,μετά το φαγητό,120
27099728378,16099945058,146078,2023-11-23,2023-11-25,15 ml,κάθε 12 ώρες (πρωί-βράδυ),120
18118519593,14038546502,102848,2023-11-28,2023-11-30,2 δισκία,κάθε 8 ώρες,121
16040493179,22119620547,15865,2023-11-29,2023-12-01,1 ενέσιμο αμπούλα,κάθε 8 ώρες,122
16040493179,22119620547,87697,2023-11-29,2023-12-06,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),122
16040493179,22119620547,145070,2023-11-29,2023-12-02,1 δισκίο,μία φορά το πρωί,122
09045928947,03039892139,55247,2023-12-03,2023-12-05,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),123
09045928947,03039892139,96653,2023-12-03,2023-12-06,1 δισκίο,μία φορά το πρωί,123
09045928947,03039892139,119535,2023-12-03,2023-12-05,15 ml,προ ύπνου,123
18118519593,11108472772,39651,2023-12-03,2023-12-04,2 δισκία,μία φορά το πρωί,124
18118519593,20086333246,26540,2023-12-06,2023-12-11,1/2 δισκίο,μία φορά το πρωί,125
18118519593,20086333246,121439,2023-12-06,2023-12-08,15 ml,προ ύπνου,125
19029051436,14055158747,135832,2023-12-06,2023-12-07,1 ενέσιμο αμπούλα,προ ύπνου,126
19029051436,14055158747,44622,2023-12-06,2023-12-09,1 ενέσιμο αμπούλα,μία φορά το πρωί,126
11087946135,01078093778,85077,2023-12-06,2023-12-09,1 δισκίο,μία φορά το πρωί,127
11087946135,01078093778,31295,2023-12-06,2023-12-17,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),127
11087946135,01078093778,127436,2023-12-06,2023-12-18,15 ml,προ ύπνου,127
24088546021,13076696064,10203,2023-12-08,2023-12-10,1 ενέσιμο αμπούλα,προ ύπνου,128
24088546021,13076696064,100882,2023-12-08,2023-12-10,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),128
14129831939,25114766832,36914,2023-12-10,2023-12-11,15 ml,μία φορά το πρωί,129
14129831939,25114766832,97393,2023-12-10,2023-12-11,15 ml,μετά το φαγητό,129
15124501431,26026036012,162208,2023-12-14,2023-12-23,1/2 δισκίο,κάθε 8 ώρες,130
15124501431,26026036012,116560,2023-12-14,2023-12-18,1 κάψουλα,κάθε 8 ώρες,130
08088799158,23035726441,17444,2023-12-19,2023-12-23,2 δισκία,κάθε 8 ώρες,131
26067425558,24064249347,139391,2023-12-20,2023-12-29,1 δισκίο,προ ύπνου,132
26067425558,24064249347,92446,2023-12-20,2023-12-30,2 δισκία,προ ύπνου,132
26067425558,24064249347,9113,2023-12-20,2023-12-27,1 κάψουλα,κάθε 8 ώρες,132
29109569303,23097966076,43959,2023-12-21,2023-12-23,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),133
22048608378,27114223727,12092,2023-12-24,2023-12-26,1 ενέσιμο αμπούλα,κάθε 8 ώρες,134
22048608378,27114223727,161415,2023-12-24,2023-12-29,1/2 δισκίο,μία φορά το πρωί,134
22048608378,27114223727,23482,2023-12-24,2023-12-28,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),134
28026692058,28045106998,127949,2023-12-29,2024-01-03,1/2 δισκίο,μία φορά το πρωί,135
28026692058,28045106998,128346,2023-12-29,2024-01-01,2 δισκία,προ ύπνου,135
28026692058,28045106998,149367,2023-12-29,2024-01-02,1 ενέσιμο αμπούλα,εφάπαξ,135
06126222477,31057446403,51987,2023-12-30,2024-01-04,15 ml,μία φορά το πρωί,136
06126222477,31057446403,141660,2023-12-30,2024-01-05,1/2 δισκίο,μετά το φαγητό,136
