ID_nosileias,AMKA_astheni,ID_klinis,ID_tmhmatos,imerominia_eisagwgis,imerominia_exodou,diagnosis_eisagwgis,diagnosis_exodou,AMKA_iatrou
87,24105758308,221,15,2023-09-07 16:08:39,,V53,,03037593592
88,05089884953,107,7,2023-09-12 01:31:38,2023-09-21 01:31:38,S62.3,S62.3,11087946135
89,11036301026,72,5,2023-09-14 02:41:55,2023-09-23 02:41:55,P52.9,P52.9,06117882147
90,30088959779,77,5,2023-09-17 00:09:23,2023-09-29 00:09:23,R46.5,R46.5,20039794570
91,02017791425,97,6,2023-09-17 01:50:58,2023-09-25 01:50:58,E07.8,E07.8,23056691943
92,02036313485,139,9,2023-09-19 17:13:47,2023-09-21 17:13:47,B56,B56,15049291643
93,17086486097,120,7,2023-09-20 09:40:58,2023-09-25 09:40:58,S23.0,S23.0,16118595442
94,24019614197,155,11,2023-09-21 00:30:20,2023-09-26 00:30:20,A39.0+,V78,24088546021
95,08034771027,37,2,2023-09-22 06:37:42,2023-10-04 06:37:42,G80.8,G80.8,31084428740
96,21088351440,171,12,2023-09-23 03:34:54,2023-10-02 03:34:54,K03.6,K03.6,13119759342
97,11050658021,123,8,2023-09-23 13:27:21,2023-09-28 13:27:21,K57.4,K57.4,01090729354
98,20037111704,43,2,2023-10-04 13:36:47,2023-10-07 13:36:47,Z82.4,Z82.4,23026866049
99,22129247575,99,6,2023-10-06 11:53:02,2023-10-14 11:53:02,B34,B34,16040493179
100,21047422567,26,2,2023-10-07 16:58:14,,R30,,08088799158
101,02017791425,196,14,2023-10-09 17:13:19,2023-10-18 17:13:19,C49.9,C49.9,18060326718
102,09069561018,3,1,2023-10-10 14:22:41,,M87.8,,06117882147
103,26018673990,130,8,2023-10-10 19:25:33,2023-10-12 19:25:33,H35.8,H35.8,21119438801
104,04027802012,141,9,2023-10-16 06:32:49,2023-10-20 06:32:49,F06.2,F06.2,16068107499
105,15029204990,119,7,2023-10-16 13:50:35,2023-10-28 13:50:35,S35,S35,02078042045
106,18095314451,186,13,2023-10-18 06:12:41,2023-10-25 06:12:41,T88.5,T88.5,22120477375
107,25104926265,134,8,2023-10-21 23:43:19,2023-11-01 23:43:19,Z56,Z56,01090729354
108,22119620547,27,2,2023-10-22 06:15:18,2023-10-29 06:15:18,V09.2,V09.2,20039794570
109,24116938524,217,15,2023-10-25 05:22:48,2023-10-28 05:22:48,I13.2,I13.2,05038348846
110,13069976937,212,15,2023-10-25 09:37:11,2023-10-30 09:37:11,N93,N93,29049732701
111,19030348414,34,2,2023-10-26 17:12:50,2023-10-29 17:12:50,I69,I69,26067425558
112,26100447886,146,9,2023-10-28 00:57:17,2023-11-01 00:57:17,Z63.0,Z63.0,03049296161
113,21088351440,85,5,2023-11-04 22:02:25,2023-11-16 22:02:25,V67,V67,02078042045
114,27088459709,128,8,2023-11-06 14:10:30,2023-11-14 14:10:30,B87.1,B87.1,10089737527
115,10127699608,181,13,2023-11-08 12:02:24,2023-11-13 12:02:24,V87,V87,06050738238
116,25110455645,68,5,2023-11-11 05:50:42,2023-11-18 05:50:42,Y66,Y66,17019537542
117,27100139422,158,11,2023-11-14 11:04:32,2023-11-26 11:04:32,A18.8,A18.8,21017437016
118,05076151023,82,5,2023-11-16 01:28:26,2023-11-23 01:28:26,O22.0,O22.0,24088546021
119,04027802012,156,11,2023-11-22 20:20:12,2023-11-29 20:20:12,Q92.5,Q92.5,14129831939
120,16099945058,162,12,2023-11-23 17:34:18,2023-12-05 17:34:18,M91.8,M91.8,27099728378
121,14038546502,212,15,2023-11-28 23:56:57,2023-12-04 23:56:57,I05.1,I05.1,18118519593
122,22119620547,163,12,2023-11-29 17:17:55,2023-12-10 17:17:55,H27.1,H27.1,16040493179
123,03039892139,3,1,2023-12-03 03:59:54,2023-12-06 03:59:54,J06,J06,09045928947
124,11108472772,65,5,2023-12-03 15:22:40,2023-12-08 15:22:40,J94.1,Y46,18118519593
125,20086333246,43,2,2023-12-06 02:09:46,2023-12-15 02:09:46,C08.1,R26.8,18118519593
126,14055158747,116,7,2023-12-06 04:26:33,2023-12-09 04:26:33,J15.4,J15.4,19029051436
127,01078093778,157,11,2023-12-06 20:12:34,2023-12-18 20:12:34,T65.1,T65.1,11087946135
128,13076696064,59,5,2023-12-08 15:40:22,2023-12-11 15:40:22,X68,M16.7,24088546021
129,25114766832,123,8,2023-12-10 10:41:31,2023-12-12 10:41:31,R01.0,R01.0,14129831939
130,26026036012,39,2,2023-12-14 01:24:28,2023-12-26 01:24:28,P15.3,P15.3,15124501431
131,23035726441,10,1,2023-12-19 22:23:21,2023-12-28 22:23:21,D51.0,D51.0,08088799158
132,24064249347,18,1,2023-12-20 04:50:40,2023-12-30 04:50:40,Z30.1,Z30.1,26067425558
133,23097966076,148,10,2023-12-21 01:09:43,2023-12-25 01:09:43,H05.0,H05.0,29109569303
134,27114223727,119,7,2023-12-24 07:54:38,2023-12-29 07:54:38,Q18.8,Q18.8,22048608378
135,28045106998,138,9,2023-12-29 00:24:02,2024-01-03 00:24:02,I65.3,I65.3,28026692058
136,31057446403,58,5,2023-12-30 01:31:34,2024-01-05 01:31:34,T05,T05,06126222477
137,03080887989,104,7,2023-12-31 03:49:09,2024-01-07 03:49:09,D53,D53,16040493179
138,17084510025,58,5,2024-01-02 04:11:23,2024-01-06 04:11:23,Q63.1,Q63.1,15049291643
139,18095314451,208,15,2024-01-04 06:54:03,2024-01-06 06:54:03,D84.8,J16,08119651767
140,09025524525,171,12,2024-01-04 08:09:10,,A79.0,,18060326718
141,06060868993,97,6,2024-01-10 01:59:44,2024-01-22 01:59:44,T91.2,T91.2,22115865680
142,06116602025,153,11,2024-01-13 12:36:22,2024-01-20 12:36:22,C69.1,C69.1,29109569303
143,04066869604,153,11,2024-01-14 23:07:32,2024-01-26 23:07:32,E87.1,E87.1,03057873936
144,02045315571,59,5,2024-01-16 04:28:56,2024-01-27 04:28:56,F84.8,F84.8,31084428740
145,17024116047,141,9,2024-01-18 05:12:33,2024-01-29 05:12:33,Q93.6,Q93.6,21119438801
146,01129226955,92,6,2024-01-20 15:01:44,2024-01-23 15:01:44,O83.8,O83.8,24100569128
147,31057446403,216,15,2024-01-20 23:26:27,2024-01-31 23:26:27,R43,R43,02087077516
148,04048854946,112,7,2024-01-23 00:31:18,2024-01-25 00:31:18,S70.8,S70.8,28120467810
149,20108497934,222,15,2024-01-25 16:05:42,2024-01-29 16:05:42,Q13.4,Q13.4,06050738238
150,16080609722,198,14,2024-01-26 07:03:17,2024-01-29 07:03:17,E89.4,E89.4,18020449145
151,19080401685,185,13,2024-01-26 22:25:53,2024-01-30 22:25:53,O00.0,J86,02030634060
152,01088695318,181,13,2024-01-27 04:45:04,2024-01-31 04:45:04,N76.2,N76.2,05038348846
153,24096114298,60,5,2024-01-28 22:35:52,2024-02-09 22:35:52,S89.7,S89.7,22120477375
154,09066024392,39,2,2024-02-03 22:57:19,2024-02-10 22:57:19,B59+,B59+,15089851983
155,31108619515,120,7,2024-02-07 01:12:11,2024-02-10 01:12:11,S82.8,E78.6,01024610365
156,02024157190,15,1,2024-02-13 12:17:37,2024-02-15 12:17:37,S79.9,S79.9,26067425558
157,08090361434,46,3,2024-02-14 08:39:53,2024-02-26 08:39:53,M33.9,M33.9,12016267995
158,26105808540,98,6,2024-02-15 10:31:24,2024-02-20 10:31:24,T06.5,T06.5,11087946135
159,28077570409,222,15,2024-02-18 10:57:30,2024-02-21 10:57:30,L41.4,I97.1,02087077516
160,06046575583,175,12,2024-02-20 21:32:06,2024-02-24 21:32:06,G41.1,T81.6,02078042045
161,24104247444,96,6,2024-02-24 16:06:59,2024-02-26 16:06:59,N85.5,N85.5,02030634060
162,03125045036,6,1,2024-02-24 23:54:27,2024-03-06 23:54:27,M12,M12,06019165174
163,26026036012,88,6,2024-03-04 06:35:23,2024-03-10 06:35:23,S93.0,S93.0,11100467158
164,20057232485,93,6,2024-03-07 12:05:17,2024-03-18 12:05:17,B06.8,B06.8,22040585135
165,20075682599,15,1,2024-03-09 07:48:18,2024-03-11 07:48:18,Q97.0,Q97.0,09128084347
166,26125596722,57,5,2024-03-10 08:59:14,2024-03-18 08:59:14,Z58.4,Z58.4,18114432106
167,24019614197,129,8,2024-03-11 15:12:01,2024-03-23 15:12:01,M06.2,M06.2,21110456039
168,24076008916,75,5,2024-03-11 21:52:22,2024-03-18 21:52:22,N34,N34,29049732701
169,31084192623,215,15,2024-03-12 12:44:18,2024-03-14 12:44:18,W90,W90,06019165174
170,02056408999,17,1,2024-03-13 11:53:30,2024-03-21 11:53:30,Q40,F20.2,22040585135
171,07025648436,108,7,2024-03-16 10:20:12,2024-03-25 10:20:12,Y87.1,Y87.1,14129831939
172,21119250184,48,3,2024-03-18 12:57:45,2024-03-24 12:57:45,I82.8,A03.0,03057873936
173,08069088885,212,15,2024-03-21 05:36:15,2024-03-25 05:36:15,E23.2,E23.2,31084428740
174,20049280002,122,8,2024-03-22 12:57:18,,K56.2,,06050738238
175,02080605060,47,3,2024-03-22 18:59:32,2024-04-03 18:59:32,M60.1,M60.1,22048608378
176,14038546502,172,12,2024-03-23 07:10:06,,B08.5,,10089737527
177,22047993944,4,1,2024-03-28 17:53:26,2024-04-04 17:53:26,M43.6,M43.6,15049291643
178,23065187182,152,10,2024-03-31 00:43:10,2024-04-04 00:43:10,S09.0,S09.0,18118519593
179,10049749838,169,12,2024-04-01 08:27:06,2024-04-07 08:27:06,F68.0,F68.0,04010443316
180,23119130856,100,6,2024-04-04 00:31:37,2024-04-15 00:31:37,O42.2,S25.8,27099728378
181,15116913619,165,12,2024-04-05 15:24:49,2024-04-08 15:24:49,A00.9,A00.9,09128084347
182,25104926265,190,13,2024-04-05 21:40:39,2024-04-16 21:40:39,T90.1,T90.1,19075521849
183,07025661146,116,7,2024-04-08 15:25:21,2024-04-17 15:25:21,F53.8,F53.8,22040585135
184,22119620547,21,1,2024-04-08 20:52:08,2024-04-13 20:52:08,P35,Z50.0,31084428740
185,24028052131,124,8,2024-04-10 10:58:09,2024-04-21 10:58:09,Y91.3,Y91.3,22040585135
186,14116282450,108,7,2024-04-11 04:30:53,2024-04-23 04:30:53,T45.4,T45.4,15088743388
187,30056253919,163,12,2024-04-18 04:18:01,2024-04-22 04:18:01,J67.2,J67.2,21119438801
188,18076242086,30,2,2024-04-20 22:04:35,2024-04-28 22:04:35,E26.8,E26.8,14024366361
189,02080605060,159,11,2024-04-21 00:08:41,2024-04-24 00:08:41,F20.2,F20.2,22048608378
190,29048725629,85,5,2024-04-21 13:32:59,2024-04-25 13:32:59,D55.9,D55.9,31084428740
191,22065247880,195,13,2024-04-21 18:27:21,2024-05-03 18:27:21,B17,B17,18118519593
192,13070372071,52,3,2024-04-23 11:01:52,2024-04-30 11:01:52,R74.0,P83.4,03037593592
193,06046575583,76,5,2024-04-26 17:24:58,2024-04-29 17:24:58,P24.9,P24.9,26067425558
194,18095314451,151,10,2024-04-29 21:21:23,2024-05-11 21:21:23,Z99.3,Z99.3,16040493179
195,01088695318,131,8,2024-05-03 09:22:36,2024-05-07 09:22:36,D14.3,D14.3,03049296161
196,24026275714,148,10,2024-05-04 09:59:29,2024-05-07 09:59:29,D58.9,D58.9,22040585135
197,25096574054,214,15,2024-05-05 16:38:23,2024-05-14 16:38:23,C91.0,C91.0,06117882147
198,16074369547,103,7,2024-05-05 23:15:29,2024-05-17 23:15:29,N80.2,M08,10089737527
199,17084510025,33,2,2024-05-06 02:15:32,2024-05-16 02:15:32,H26.9,H26.9,19089017616
200,04048854946,199,14,2024-05-17 17:38:34,2024-05-20 17:38:34,M22.8,M22.8,05038348846
201,22119620547,44,2,2024-05-24 19:58:01,2024-05-27 19:58:01,Z74.3,Z74.3,19110834569
202,04027802012,23,1,2024-05-26 20:03:45,2024-06-06 20:03:45,D04,D04,06019165174
203,27088459709,95,6,2024-05-29 01:20:51,2024-06-04 01:20:51,A77.9,A77.9,16068107499
204,20129813159,209,15,2024-05-30 15:31:45,2024-06-03 15:31:45,R19.1,L65,21119438801
205,20057232485,221,15,2024-06-01 22:53:32,2024-06-09 22:53:32,H13.2*,M71.2,24088546021
206,24019614197,80,5,2024-06-02 21:01:56,2024-06-05 21:01:56,Y45.9,Y45.9,24088546021
207,22035062029,83,5,2024-06-03 08:54:52,2024-06-14 08:54:52,T34.6,T34.6,20039794570
208,26105808540,16,1,2024-06-04 13:18:42,2024-06-15 13:18:42,Q77.3,K85,26099895344
209,14055158747,23,1,2024-06-04 19:43:20,2024-06-14 19:43:20,F52,F52,16118595442
210,10088308059,133,8,2024-06-14 20:48:16,2024-06-20 20:48:16,P61.2,P02.0,28026692058
211,27088459709,160,11,2024-06-15 08:52:25,2024-06-22 08:52:25,Y57.3,Y57.3,18020449145
212,22065247880,201,14,2024-06-19 11:19:13,2024-06-22 11:19:13,C50.6,Y73,06126222477
213,18095314451,182,13,2024-06-19 20:55:37,2024-06-21 20:55:37,R45.1,R45.1,07044341149
214,07096944665,41,2,2024-06-21 04:00:38,2024-07-01 04:00:38,M99.0,M99.0,11100467158
215,14024432211,185,13,2024-06-21 23:48:54,2024-06-25 23:48:54,I39.8*,I39.8*,22040585135
216,29078056776,49,3,2024-06-23 17:05:44,2024-06-27 17:05:44,S66.9,S66.9,17019537542
217,17086486097,78,5,2024-06-24 22:18:56,2024-06-30 22:18:56,Y51.1,Y51.1,15089851983
218,16080609722,12,1,2024-06-27 04:41:43,2024-07-04 04:41:43,C71.5,S53.2,21110456039
219,11050658021,179,12,2024-07-01 10:21:12,2024-07-04 10:21:12,R07.2,R07.2,02087077516
220,21088351440,23,1,2024-07-01 17:44:56,2024-07-05 17:44:56,B66.0,B66.0,04010443316
221,02056408999,197,14,2024-07-04 11:05:11,2024-07-13 11:05:11,L28.0,L28.0,18050675294
222,20057232485,101,7,2024-07-05 15:34:25,2024-07-08 15:34:25,M73.0*,M73.0*,18118519593
223,23055868978,139,9,2024-07-08 17:41:57,2024-07-10 17:41:57,D31.2,O11,09050064807
224,20129813159,106,7,2024-07-10 00:15:32,2024-07-17 00:15:32,T30.6,T30.6,18118519593
225,12045364041,81,5,2024-07-12 03:34:33,2024-07-19 03:34:33,K44.1,K05.6,03057873936
226,23028814627,1,1,2024-07-14 01:37:08,2024-07-23 01:37:08,Q33.3,Q33.3,24100569128
227,10127699608,80,5,2024-07-14 11:12:21,2024-07-19 11:12:21,V39.8,V39.8,03057873936
228,22070852133,111,7,2024-07-15 19:19:43,2024-07-25 19:19:43,D82.8,D82.8,19110834569
229,30129389723,76,5,2024-07-17 04:03:56,2024-07-21 04:03:56,P03.4,P03.4,16100868799
230,29048725629,170,12,2024-07-20 07:13:47,2024-07-23 07:13:47,M77.4,M77.4,15049291643
231,24028052131,113,7,2024-07-20 14:24:52,2024-07-23 14:24:52,D17.4,D17.4,05038348846
232,26088900975,38,2,2024-07-22 21:26:03,2024-07-26 21:26:03,I88.8,I88.8,10094598570
233,03014619314,12,1,2024-07-23 23:24:36,2024-08-02 23:24:36,N64.0,N64.0,13119759342
234,30098579446,153,11,2024-08-05 09:20:07,2024-08-12 09:20:07,Q81.8,Q81.8,18020449145
235,25104926265,153,11,2024-08-06 18:21:36,2024-08-10 18:21:36,P52.6,P52.6,18020449145
236,20057771483,158,11,2024-08-08 15:22:15,2024-08-18 15:22:15,S87.0,S87.0,16040493179
237,25124524763,222,15,2024-08-09 04:26:11,2024-08-12 04:26:11,M06.2,M06.2,26099895344
238,14116282450,118,7,2024-08-10 02:06:14,2024-08-15 02:06:14,D17.5,D17.5,06126222477
239,07094810040,153,11,2024-08-10 14:56:45,2024-08-21 14:56:45,J39.2,J39.2,18118519593
240,14055158747,11,1,2024-08-11 21:13:22,2024-08-13 21:13:22,Q26.2,Q26.2,19089017616
241,03087449368,143,9,2024-08-12 10:07:06,2024-08-16 10:07:06,A04.9,A04.9,07034474162
242,12045364041,68,5,2024-08-24 19:25:41,2024-09-05 19:25:41,R52.0,R52.0,13119759342
243,27087797722,222,15,2024-08-25 13:44:18,2024-08-31 13:44:18,M06.0,N64.1,23056691943
244,13034773606,214,15,2024-08-29 14:46:38,2024-09-08 14:46:38,M85.4,M85.4,01024610365
245,26050897250,60,5,2024-09-01 19:27:44,2024-09-06 19:27:44,E76.9,E76.9,06050738238
246,20037111704,124,8,2024-09-04 20:39:45,2024-09-13 20:39:45,C13.9,M95.0,19029051436
247,08118005072,192,13,2024-09-05 09:51:27,2024-09-08 09:51:27,Z82.1,S93.5,21119438801
248,27087797722,151,10,2024-09-08 20:02:15,2024-09-12 20:02:15,M94.2,M94.2,24024429583
249,03085815082,190,13,2024-09-14 07:59:05,2024-09-21 07:59:05,M02,Z41.8,29049732701
250,05098106243,161,12,2024-09-18 17:36:25,2024-09-28 17:36:25,M15.0,M15.0,18060326718
251,22056004139,56,5,2024-09-18 23:30:56,2024-09-26 23:30:56,Z01.4,S44.3,19075521849
252,16099945058,13,1,2024-09-21 17:20:45,2024-10-03 17:20:45,Q01.9,Q01.9,22018235970
253,21088351440,128,8,2024-09-24 02:43:05,2024-09-28 02:43:05,C82.0,C82.0,06126222477
254,20037111704,141,9,2024-09-24 11:31:21,2024-10-02 11:31:21,E78.3,B47.0,17019537542
255,10088308059,75,5,2024-09-29 13:49:13,2024-10-02 13:49:13,Q72.0,Q72.0,08119651767
256,10049749838,32,2,2024-10-03 10:27:22,2024-10-10 10:27:22,J01.0,J01.0,05038348846
257,18066087869,73,5,2024-10-05 12:21:18,2024-10-15 12:21:18,L70,L70,02078042045
258,31108619515,194,13,2024-10-06 14:10:03,2024-10-15 14:10:03,T04.2,T04.2,21017437016
259,23035977126,120,7,2024-10-07 02:37:55,2024-10-12 02:37:55,D64.8,D64.8,28120467810
260,06024508252,137,9,2024-10-07 04:03:06,2024-10-09 04:03:06,E61.4,E61.4,24088546021
261,18068612601,13,1,2024-10-08 12:43:52,2024-10-14 12:43:52,I23.1,I23.1,03056595064
262,29049156103,196,14,2024-10-09 04:11:00,,R22.2,,22120477375
263,25114766832,73,5,2024-10-12 00:38:27,2024-10-16 00:38:27,B30.2,B30.2,15089851983
264,20049280002,96,6,2024-10-14 13:05:50,2024-10-25 13:05:50,B67.4,B67.4,22040585135
265,05076151023,123,8,2024-10-15 11:16:19,2024-10-17 11:16:19,T17.4,T20.3,21119438801
266,22065247880,49,3,2024-10-16 01:45:50,2024-10-28 01:45:50,E84,E84,07044341149
267,27100139422,7,1,2024-10-23 19:07:20,,D60,,20039794570
268,26118866522,151,10,2024-10-24 05:40:24,,B39.2,,03056595064
269,30088959779,66,5,2024-10-26 11:52:58,2024-10-30 11:52:58,M71.3,L53.3,23026866049
270,20049280002,49,3,2024-10-27 17:44:32,,N91.4,,19029051436
271,17024116047,104,7,2024-10-31 05:18:22,2024-11-06 05:18:22,A17.1+,K71.6,19075521849
272,23055868978,177,12,2024-11-03 05:24:46,2024-11-13 05:24:46,R15,R15,04025648413
