amka,patronymo,fylo,varos,ypsos,epaggelma,ypikootita,asfalistikos_foreas
10059670756,Νικολάου,Γυναίκα,80.36,1.87,Φοιτητής,Ελληνική,ΕΦΚΑ
20129813159,Αντωνίου,Γυναίκα,50.27,1.56,Ιδιωτικός Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
08039389744,Ιωάννου,Άνδρας,79.3,1.56,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
23106760849,Δημητρίου,Άνδρας,97.61,1.77,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
30119609169,Γεωργίου,Άνδρας,97.57,1.8,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΙΚΑ)
26118866522,Ιωάννου,Άνδρας,70.63,1.9,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
23035977126,Βασιλείου,Γυναίκα,75.7,1.84,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
03087449368,Βασιλείου,Γυναίκα,78.17,1.93,Ελεύθερος Επαγγελματίας,Ελληνική,Ανασφάλιστος
28096973636,Γεωργίου,Άνδρας,88.33,1.8,Φοιτητής,Ελληνική,ΕΦΚΑ
09087148284,Ιωάννου,Άνδρας,102.68,1.81,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
31084192623,Κωνσταντίνου,Γυναίκα,62.18,1.64,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
28127165521,Ιωάννου,Άνδρας,93.55,1.79,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
23050780293,Νικολάου,Άνδρας,72.07,1.78,Συνταξιούχος,Ελληνική,ΕΦΚΑ
19125793215,Ιωάννου,Άνδρας,86.26,1.71,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
02017791425,Χρήστου,Γυναίκα,62.01,1.64,Ελεύθερος Επαγγελματίας,Ελληνική,Ανασφάλιστος
02080605060,Δημητρίου,Γυναίκα,59.58,1.89,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
02045315571,Γεωργίου,Γυναίκα,79.42,1.91,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
14024432211,Κωνσταντίνου,Γυναίκα,80.95,1.76,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
28085673440,Χρήστου,Άνδρας,89.34,1.63,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
16099945058,Δημητρίου,Άνδρας,104.43,1.74,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ
14108346592,Γεωργίου,Γυναίκα,69.39,1.64,Φοιτητής,Ελληνική,Ανασφάλιστος
30098579446,Βασιλείου,Γυναίκα,59.77,1.58,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
04044756842,Βασιλείου,Άνδρας,72.56,1.78,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
20037111704,Βασιλείου,Άνδρας,88.61,1.87,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
07096944665,Ιωάννου,Άνδρας,101.51,1.93,Συνταξιούχος,Ελληνική,Ανασφάλιστος
17086486097,Αντωνίου,Γυναίκα,79.02,1.84,Άνεργος,Ελληνική,Ανασφάλιστος
23126536791,Γεωργίου,Γυναίκα,72.87,1.66,Ελεύθερος Επαγγελματίας,Ελληνική,Ανασφάλιστος
10088308059,Κωνσταντίνου,Γυναίκα,60.98,1.61,Φοιτητής,Ελληνική,ΕΦΚΑ
12060698468,Ιωάννου,Άνδρας,75.17,1.72,Δημόσιος Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
30069682579,Κωνσταντίνου,Γυναίκα,81.44,1.58,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
24116938524,Αντωνίου,Γυναίκα,76.33,1.76,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
04027802012,Κωνσταντίνου,Γυναίκα,58.2,1.68,Φοιτητής,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
23035726441,Ιωάννου,Γυναίκα,51.83,1.79,Άνεργος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
24028052131,Νικολάου,Άνδρας,103.47,1.93,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
06116602025,Δημητρίου,Άνδρας,82.07,1.93,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
24105758308,Δημητρίου,Γυναίκα,73.51,1.62,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
15129887046,Αντωνίου,Γυναίκα,78.37,1.66,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
02037342458,Νικολάου,Γυναίκα,58.62,1.78,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
23076302310,Κωνσταντίνου,Γυναίκα,62.85,1.78,Φοιτητής,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
13076696064,Χρήστου,Άνδρας,87.46,1.69,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ
27114392225,Δημητρίου,Άνδρας,91.62,1.64,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
28026488250,Κωνσταντίνου,Άνδρας,101.85,1.69,Φοιτητής,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
28055492211,Δημητρίου,Γυναίκα,64.28,1.92,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
16080398793,Κωνσταντίνου,Άνδρας,102.27,1.73,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
13069976937,Νικολάου,Άνδρας,88.32,1.66,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
16074369547,Βασιλείου,Γυναίκα,75.37,1.71,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
01079786083,Κωνσταντίνου,Άνδρας,103.51,1.65,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
05089884953,Κωνσταντίνου,Γυναίκα,62.15,1.85,Άνεργος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
24019614197,Ιωάννου,Γυναίκα,77.02,1.58,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
04037844317,Ιωάννου,Άνδρας,79.83,1.8,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ
01088695318,Χρήστου,Γυναίκα,72.81,1.58,Άνεργος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
30129389723,Ιωάννου,Γυναίκα,54.67,1.69,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
13036533562,Νικολάου,Γυναίκα,75.14,1.73,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
08039585346,Βασιλείου,Γυναίκα,54.74,1.59,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ
09025524525,Βασιλείου,Άνδρας,95.2,1.82,Άνεργος,Ελληνική,Ανασφάλιστος
19025178439,Χρήστου,Γυναίκα,81.75,1.77,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
08069088885,Γεωργίου,Άνδρας,103.03,1.62,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
24096114298,Κωνσταντίνου,Άνδρας,99.65,1.8,Συνταξιούχος,Ελληνική,Ανασφάλιστος
22056004139,Νικολάου,Άνδρας,81.45,1.73,Φοιτητής,Ελληνική,ΕΦΚΑ
18066087869,Κωνσταντίνου,Γυναίκα,59.38,1.72,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
08090361434,Νικολάου,Άνδρας,77.28,1.65,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
05098106243,Δημητρίου,Άνδρας,97.83,1.72,Ιδιωτικός Υπάλληλος,Ελληνική,Ανασφάλιστος
09068383675,Βασιλείου,Άνδρας,71.88,1.73,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
08118061285,Ιωάννου,Γυναίκα,75.81,1.62,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
22129247575,Ιωάννου,Γυναίκα,68.99,1.77,Φοιτητής,Ελληνική,ΕΦΚΑ (ΙΚΑ)
29048725629,Κωνσταντίνου,Γυναίκα,81.47,1.85,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
28087700496,Κωνσταντίνου,Άνδρας,104.09,1.59,Συνταξιούχος,Ελληνική,Ανασφάλιστος
22119620547,Χρήστου,Γυναίκα,83.22,1.92,Άνεργος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
17057940055,Αντωνίου,Γυναίκα,67.22,1.91,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
03125045036,Ιωάννου,Γυναίκα,66.36,1.56,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
27088039572,Κωνσταντίνου,Άνδρας,84.73,1.55,Άνεργος,Ελληνική,Ανασφάλιστος
03085815082,Κωνσταντίνου,Άνδρας,96.43,1.65,Φοιτητής,Ελληνική,ΕΦΚΑ
03039892139,Χρήστου,Άνδρας,70.92,1.65,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
29049156103,Βασιλείου,Άνδρας,90.85,1.8,Ελεύθερος Επαγγελματίας,Ελληνική,Ανασφάλιστος
28035274397,Ιωάννου,Γυναίκα,73.01,1.78,Άνεργος,Ελληνική,ΕΦΚΑ
14116282450,Βασιλείου,Γυναίκα,57.15,1.95,Ιδιωτικός Υπάλληλος,Ελληνική,Ανασφάλιστος
28077380275,Βασιλείου,Γυναίκα,56.96,1.83,Συνταξιούχος,Ελληνική,ΕΦΚΑ
06060868993,Νικολάου,Γυναίκα,75.32,1.74,Φοιτητής,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
27100139422,Κωνσταντίνου,Γυναίκα,81.7,1.86,Συνταξιούχος,Ελληνική,ΕΦΚΑ
20108497934,Δημητρίου,Γυναίκα,73.95,1.68,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
20057771483,Βασιλείου,Άνδρας,80.42,1.92,Δημόσιος Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
12045364041,Δημητρίου,Γυναίκα,59.26,1.84,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΙΚΑ)
25110455645,Αντωνίου,Γυναίκα,69.0,1.61,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
26100447886,Νικολάου,Γυναίκα,52.37,1.76,Φοιτητής,Ελληνική,ΕΦΚΑ
27114223727,Αντωνίου,Γυναίκα,79.26,1.64,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
10127699608,Δημητρίου,Άνδρας,85.24,1.6,Φοιτητής,Ελληνική,ΕΦΚΑ
12059650695,Δημητρίου,Άνδρας,85.44,1.56,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ
21096212974,Βασιλείου,Άνδρας,73.26,1.63,Άνεργος,Ελληνική,Ανασφάλιστος
24026275714,Χρήστου,Άνδρας,74.97,1.85,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
14074225756,Νικολάου,Γυναίκα,67.95,1.68,Ιδιωτικός Υπάλληλος,Ελληνική,Ανασφάλιστος
10049749838,Δημητρίου,Γυναίκα,66.21,1.57,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
08058909862,Χρήστου,Άνδρας,103.54,1.9,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
24064249347,Χρήστου,Άνδρας,84.08,1.9,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
18026581848,Ιωάννου,Γυναίκα,64.57,1.55,Ιδιωτικός Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
30088959779,Νικολάου,Άνδρας,86.67,1.63,Ιδιωτικός Υπάλληλος,Ελληνική,Ανασφάλιστος
08034771027,Χρήστου,Άνδρας,101.58,1.75,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
31057446403,Κωνσταντίνου,Άνδρας,103.77,1.85,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ
22070852133,Νικολάου,Άνδρας,97.63,1.81,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
27087797722,Δημητρίου,Γυναίκα,61.97,1.87,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
28125858451,Ιωάννου,Άνδρας,104.29,1.56,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
23097966076,Γεωργίου,Άνδρας,78.1,1.81,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ
27018846643,Χρήστου,Άνδρας,81.14,1.57,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
22047993944,Κωνσταντίνου,Γυναίκα,79.97,1.85,Φοιτητής,Ελληνική,Ανασφάλιστος
01089009251,Χρήστου,Γυναίκα,77.15,1.76,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
28110356536,Νικολάου,Γυναίκα,61.6,1.93,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
28077570409,Χρήστου,Άνδρας,74.15,1.92,Φοιτητής,Ελληνική,ΕΦΚΑ
21088351440,Χρήστου,Γυναίκα,53.37,1.73,Φοιτητής,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
26050897250,Νικολάου,Γυναίκα,71.1,1.59,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
26018673990,Κωνσταντίνου,Γυναίκα,80.77,1.93,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
26026036012,Γεωργίου,Γυναίκα,60.85,1.79,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
02056408999,Νικολάου,Γυναίκα,79.8,1.63,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
11108472772,Ιωάννου,Γυναίκα,80.25,1.57,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
19067311901,Δημητρίου,Άνδρας,80.06,1.57,Φοιτητής,Ελληνική,Ανασφάλιστος
23065187182,Αντωνίου,Άνδρας,85.14,1.94,Άνεργος,Ελληνική,Ανασφάλιστος
24104247444,Χρήστου,Γυναίκα,52.69,1.67,Συνταξιούχος,Ελληνική,Ανασφάλιστος
31108619515,Βασιλείου,Γυναίκα,57.3,1.88,Άνεργος,Ελληνική,Ανασφάλιστος
30056253919,Δημητρίου,Άνδρας,81.66,1.62,Άνεργος,Ελληνική,Ανασφάλιστος
08114196214,Βασιλείου,Γυναίκα,65.43,1.83,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
27016675051,Κωνσταντίνου,Γυναίκα,53.46,1.62,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
01078093778,Κωνσταντίνου,Άνδρας,74.07,1.8,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ
14055158747,Βασιλείου,Γυναίκα,65.04,1.94,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
26125596722,Αντωνίου,Άνδρας,89.18,1.76,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
23028814627,Γεωργίου,Άνδρας,71.67,1.92,Φοιτητής,Ελληνική,ΕΦΚΑ
09026562599,Δημητρίου,Άνδρας,87.44,1.63,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ
25114766832,Ιωάννου,Άνδρας,79.09,1.88,Άνεργος,Ελληνική,ΕΦΚΑ
11018863136,Βασιλείου,Άνδρας,79.21,1.92,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
19030348414,Κωνσταντίνου,Άνδρας,101.53,1.75,Δημόσιος Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
28045106998,Γεωργίου,Γυναίκα,61.35,1.59,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
18076242086,Βασιλείου,Γυναίκα,52.95,1.65,Φοιτητής,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
13034773606,Αντωνίου,Άνδρας,97.05,1.85,Άνεργος,Ελληνική,Ανασφάλιστος
24100534776,Χρήστου,Άνδρας,82.11,1.85,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
25124524763,Ιωάννου,Γυναίκα,80.97,1.68,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
22035062029,Κωνσταντίνου,Άνδρας,94.03,1.89,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
21047422567,Δημητρίου,Γυναίκα,70.71,1.75,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
25108236524,Ιωάννου,Άνδρας,99.9,1.57,Ιδιωτικός Υπάλληλος,Ελληνική,Ανασφάλιστος
18068612601,Ιωάννου,Γυναίκα,50.32,1.8,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ
08046122018,Ιωάννου,Άνδρας,90.0,1.67,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
14038546502,Δημητρίου,Άνδρας,73.05,1.83,Φοιτητής,Ελληνική,ΕΦΚΑ (ΙΚΑ)
21119250184,Αντωνίου,Γυναίκα,55.78,1.76,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
21080066006,Κωνσταντίνου,Γυναίκα,75.84,1.9,Ιδιωτικός Υπάλληλος,Ελληνική,Ανασφάλιστος
25096574054,Κωνσταντίνου,Άνδρας,96.28,1.78,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ
17024116047,Ιωάννου,Γυναίκα,71.82,1.88,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
23055868978,Ιωάννου,Γυναίκα,51.5,1.84,Άνεργος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
18095314451,Χρήστου,Άνδρας,96.11,1.58,Φοιτητής,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
06046575583,Αντωνίου,Άνδρας,102.9,1.72,Φοιτητής,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
29058365375,Γεωργίου,Άνδρας,104.51,1.95,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
20086333246,Κωνσταντίνου,Γυναίκα,74.9,1.63,Ιδιωτικός Υπάλληλος,Ελληνική,Ανασφάλιστος
16014472825,Γεωργίου,Γυναίκα,72.02,1.79,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
20057232485,Χρήστου,Γυναίκα,75.39,1.84,Άνεργος,Ελληνική,Ανασφάλιστος
11050658021,Ιωάννου,Άνδρας,83.16,1.84,Άνεργος,Ελληνική,ΕΦΚΑ
15029204990,Δημητρίου,Άνδρας,79.39,1.7,Ιδιωτικός Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
07094810040,Κωνσταντίνου,Γυναίκα,56.45,1.59,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
26105808540,Χρήστου,Γυναίκα,81.39,1.73,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
25104926265,Βασιλείου,Γυναίκα,55.69,1.8,Δημόσιος Υπάλληλος,Ελληνική,Ανασφάλιστος
09069561018,Χρήστου,Άνδρας,80.94,1.94,Συνταξιούχος,Ελληνική,Ανασφάλιστος
08118005072,Αντωνίου,Γυναίκα,63.54,1.57,Φοιτητής,Ελληνική,ΕΦΚΑ
12016289283,Δημητρίου,Γυναίκα,50.4,1.58,Συνταξιούχος,Ελληνική,Ανασφάλιστος
02036313485,Ιωάννου,Γυναίκα,54.2,1.68,Άνεργος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
03065174291,Γεωργίου,Άνδρας,95.5,1.59,Δημόσιος Υπάλληλος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
24054813176,Βασιλείου,Γυναίκα,77.47,1.82,Δημόσιος Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
15116913619,Δημητρίου,Γυναίκα,80.59,1.92,Συνταξιούχος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
06024508252,Βασιλείου,Γυναίκα,67.65,1.6,Ελεύθερος Επαγγελματίας,Ελληνική,ΕΦΚΑ (ΙΚΑ)
05076151023,Βασιλείου,Άνδρας,72.76,1.66,Συνταξιούχος,Ελληνική,ΕΦΚΑ (ΙΚΑ)
17089610796,Ιωάννου,Άνδρας,92.73,1.77,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
04066869604,Χρήστου,Γυναίκα,55.9,1.62,Δημόσιος Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
24076008916,Δημητρίου,Άνδρας,86.55,1.74,Άνεργος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
27060840942,Γεωργίου,Άνδρας,98.29,1.94,Φοιτητής,Ελληνική,ΕΦΚΑ (ΙΚΑ)
07025661146,Δημητρίου,Άνδρας,86.69,1.83,Συνταξιούχος,Ελληνική,Ανασφάλιστος
11036301026,Νικολάου,Άνδρας,104.76,1.76,Ιδιωτικός Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
24058021973,Χρήστου,Άνδρας,91.25,1.69,Δημόσιος Υπάλληλος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
27028422314,Κωνσταντίνου,Άνδρας,84.14,1.93,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
09074937223,Βασιλείου,Γυναίκα,63.21,1.77,Άνεργος,Ελληνική,ΕΦΚΑ
02060181890,Βασιλείου,Άνδρας,82.47,1.92,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
17084510025,Ιωάννου,Γυναίκα,65.92,1.94,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
07025648436,Γεωργίου,Γυναίκα,66.29,1.77,Άνεργος,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
04048854946,Γεωργίου,Γυναίκα,79.3,1.75,Ιδιωτικός Υπάλληλος,Ελληνική,ΕΦΚΑ
23119130856,Γεωργίου,Άνδρας,96.93,1.84,Ελεύθερος Επαγγελματίας,Ελληνική,ΙΔΙΩΤΙΚΗ ΑΣΦΑΛΙΣΗ
09066024392,Δημητρίου,Άνδρας,87.67,1.91,Άνεργος,Ελληνική,ΕΦΚΑ (ΟΑΕΕ)
